instance_id,graph,target_norm_fraction,pair_weight_fraction,target_edge_count
ising_confirmatory_01,chain,0.12017720803779908,0.10114228165786275,2
ising_confirmatory_01,random_tree,0.6194735340836142,0.6112408611743553,15
ising_confirmatory_01,problem_tree,0.827194582972683,0.8234559455774944,15
ising_confirmatory_01,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_02,chain,0.08276438270361895,0.06141624430895168,2
ising_confirmatory_02,random_tree,0.5893422485493289,0.5797844224624479,15
ising_confirmatory_02,problem_tree,0.776693800837286,0.7714964757942787,15
ising_confirmatory_02,full,0.9999999999999998,0.9999999999999998,24
ising_confirmatory_03,chain,0.09101679543735638,0.06910390380115194,2
ising_confirmatory_03,random_tree,0.6420811502999174,0.6334527873899486,15
ising_confirmatory_03,problem_tree,0.7912931393408843,0.7862618353537483,15
ising_confirmatory_03,full,1.0,1.0,24
ising_confirmatory_04,chain,0.21217915905831078,0.1957404259283487,4
ising_confirmatory_04,random_tree,0.6445731486899549,0.6371567833791253,15
ising_confirmatory_04,problem_tree,0.8107816476248397,0.8068334022417036,15
ising_confirmatory_04,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_05,chain,0.1928747172745706,0.16234309247440848,4
ising_confirmatory_05,random_tree,0.6154058850802508,0.6008576068037608,15
ising_confirmatory_05,problem_tree,0.7681550896525075,0.7593849495440791,15
ising_confirmatory_05,full,0.9999999999999998,0.9999999999999998,24
ising_confirmatory_06,chain,0.12082906921413442,0.08726725251777734,3
ising_confirmatory_06,random_tree,0.5833111130690072,0.5674042677072225,15
ising_confirmatory_06,problem_tree,0.8542354067036767,0.8486709318220318,15
ising_confirmatory_06,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_07,chain,0.1627117255343024,0.1372848875154863,3
ising_confirmatory_07,random_tree,0.570224070990486,0.5571726008283312,15
ising_confirmatory_07,problem_tree,0.8236275299176226,0.8182714364853755,15
ising_confirmatory_07,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_08,chain,0.01703243762723882,0.0,0
ising_confirmatory_08,random_tree,0.6258784066479247,0.6193957891662342,15
ising_confirmatory_08,problem_tree,0.8241338625093257,0.8210865299907198,15
ising_confirmatory_08,full,1.0,1.0,24
ising_confirmatory_09,chain,0.16939094311214686,0.1505930060500443,3
ising_confirmatory_09,random_tree,0.6447629802162489,0.6367234300998028,15
ising_confirmatory_09,problem_tree,0.846092191550311,0.8426090254656027,15
ising_confirmatory_09,full,1.0,1.0,24
ising_confirmatory_10,chain,0.05317898182242141,0.03436853545555865,1
ising_confirmatory_10,random_tree,0.6648213343955802,0.6581623564138663,15
ising_confirmatory_10,problem_tree,0.7803700435219644,0.7760066660329028,15
ising_confirmatory_10,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_11,chain,0.12950444166312805,0.10477427645345694,4
ising_confirmatory_11,random_tree,0.669837975919348,0.6604583055427714,15
ising_confirmatory_11,problem_tree,0.7951166799875934,0.7892960892860245,15
ising_confirmatory_11,full,0.9999999999999998,0.9999999999999998,24
ising_confirmatory_12,chain,0.10308120657509781,0.07204847819900577,2
ising_confirmatory_12,random_tree,0.58757176837102,0.5733020559058573,15
ising_confirmatory_12,problem_tree,0.8140774804165366,0.8076446984394742,15
ising_confirmatory_12,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_13,chain,0.19314308082476497,0.16901008203640552,4
ising_confirmatory_13,random_tree,0.5342872996745879,0.5203578857158339,15
ising_confirmatory_13,problem_tree,0.8592578782307065,0.8550482973578035,15
ising_confirmatory_13,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_14,chain,0.13165085243310065,0.11116873507969025,4
ising_confirmatory_14,random_tree,0.6731764578485611,0.6654675332034921,15
ising_confirmatory_14,problem_tree,0.7820941854888551,0.7769543491945333,15
ising_confirmatory_14,full,1.0,1.0,24
ising_confirmatory_15,chain,0.15544337152926546,0.13281649041178525,5
ising_confirmatory_15,random_tree,0.5988407714782227,0.5880931414591696,15
ising_confirmatory_15,problem_tree,0.8138638820561832,0.8088770289898468,15
ising_confirmatory_15,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_16,chain,0.14487077038640644,0.12750449175330264,3
ising_confirmatory_16,random_tree,0.5766302093755803,0.5680322600900147,15
ising_confirmatory_16,problem_tree,0.8058747347467381,0.8019323675239072,15
ising_confirmatory_16,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_17,chain,0.10678995072586601,0.08265767134335185,2
ising_confirmatory_17,random_tree,0.5891010322558877,0.5779995800323645,15
ising_confirmatory_17,problem_tree,0.83521228018545,0.8307601322314454,15
ising_confirmatory_17,full,1.0,1.0,24
ising_confirmatory_18,chain,0.08415794856306086,0.06647837158549755,1
ising_confirmatory_18,random_tree,0.6031562652551531,0.5954955235961769,15
ising_confirmatory_18,problem_tree,0.7770710013258795,0.7727675404983204,15
ising_confirmatory_18,full,1.0,1.0,24
ising_confirmatory_19,chain,0.1374047792341327,0.10507315772530976,3
ising_confirmatory_19,random_tree,0.6101329513891406,0.5955200326631864,15
ising_confirmatory_19,problem_tree,0.8092963394426173,0.8021484229864909,15
ising_confirmatory_19,full,0.9999999999999998,0.9999999999999998,24
ising_confirmatory_20,chain,0.1294164669911681,0.10276542206118564,2
ising_confirmatory_20,random_tree,0.6637051551678179,0.6534102108235709,15
ising_confirmatory_20,problem_tree,0.8766931730394644,0.8729183993837519,15
ising_confirmatory_20,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_21,chain,0.12411163285448405,0.10620781021650429,2
ising_confirmatory_21,random_tree,0.6003063336965925,0.592136291965885,15
ising_confirmatory_21,problem_tree,0.7658454813211014,0.7610591853391478,15
ising_confirmatory_21,full,1.0,1.0,24
ising_confirmatory_22,chain,0.1034985941213363,0.07168978131530927,2
ising_confirmatory_22,random_tree,0.609293132844411,0.5954304422586658,15
ising_confirmatory_22,problem_tree,0.7742908465533497,0.7662824483918825,15
ising_confirmatory_22,full,1.0,1.0,24
ising_confirmatory_23,chain,0.18966202567268256,0.16213947630411635,2
ising_confirmatory_23,random_tree,0.5975984750967054,0.5839311952875235,15
ising_confirmatory_23,problem_tree,0.8216192429140665,0.8155606681602728,15
ising_confirmatory_23,full,1.0000000000000002,1.0000000000000002,24
ising_confirmatory_24,chain,0.22039110640023968,0.19762407420891992,5
ising_confirmatory_24,random_tree,0.6051039168724723,0.5935717089787459,15
ising_confirmatory_24,problem_tree,0.8020442670364796,0.7962633369036448,15
ising_confirmatory_24,full,1.0000000000000002,1.0000000000000002,24
