method,initialization,graph,trajectories,successes,success_rate,mean_first_success_step,median_minimum_normalized_gap,mean_final_pstar,boundary_traps
adam,random,chain,120,1,0.008333333333333333,189.0,8.809596816875672,0.058907268717539034,0
adam,random,full,120,14,0.11666666666666667,148.07142857142858,3.2216642743060406,0.21342858275403648,0
adam,random,problem_tree,120,1,0.008333333333333333,175.0,3.4854669267028955,0.1771444228947671,0
adam,random,random_tree,120,1,0.008333333333333333,191.0,4.697311427165943,0.16156960386067426,0
adam,target_biased,chain,120,4,0.03333333333333333,160.25,6.544060357087298,0.16370625739453173,0
adam,target_biased,full,120,84,0.7,50.035714285714285,0.09898775001770715,0.6803582320932832,0
adam,target_biased,problem_tree,120,43,0.35833333333333334,97.90697674418605,1.094470274688947,0.4412291791675749,0
adam,target_biased,random_tree,120,21,0.175,146.61904761904762,1.3932954664979946,0.3663345737524977,0
exact_natural,target_biased,chain,120,35,0.2916666666666667,32.2,2.7039199665564904,0.2828910014323449,0
exact_natural,target_biased,full,120,120,1.0,13.075,0.08575878679343275,0.9316713787696813,0
exact_natural,target_biased,problem_tree,120,97,0.8083333333333333,21.49484536082474,0.0895453462445131,0.759804618693327,0
exact_natural,target_biased,random_tree,120,69,0.575,20.391304347826086,0.09435607907052104,0.5497601486068403,0
