comparison,point_difference,ci_low,ci_high,a_only,b_only,both,neither
Adam biased full - problem tree,0.3416666666666666,0.19166666666666665,0.4916666666666667,47,6,37,30
Exact natural full - problem tree,0.19166666666666665,0.06666666666666667,0.3333333333333333,23,0,97,0
Adam biased random tree - chain,0.14166666666666666,0.049999999999999996,0.2416666666666667,18,1,3,98
