instance_id,graph,edge_count,parameter_count,width,conditional_angle_entries,gray_code_cnot_upper_bound,order,elimination_degrees
ising_confirmatory_10,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_10,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_11,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_11,full,24,40,3,99,98,5 9 0 1 3 7 10 6 11 13 2 8 4 12 14 15,3 3 3 3 3 3 3 3 3 2 2 2 3 2 1 0
ising_confirmatory_11,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_11,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_12,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_12,full,24,40,4,143,142,1 2 8 9 11 13 5 6 7 10 4 12 0 3 14 15,3 3 3 3 4 3 4 3 3 4 4 3 3 2 1 0
ising_confirmatory_12,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_12,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_13,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_13,full,24,40,4,127,126,1 3 8 9 10 14 6 13 0 2 4 5 7 11 12 15,3 3 3 3 3 4 4 3 3 3 3 3 3 2 1 0
ising_confirmatory_13,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_13,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_14,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_14,full,24,40,4,151,150,0 1 2 4 5 6 7 12 13 14 3 8 9 10 11 15,3 3 3 4 3 3 3 4 4 4 4 3 3 2 1 0
ising_confirmatory_14,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_14,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_15,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_15,full,24,40,3,75,74,0 7 13 14 4 5 10 11 1 9 2 3 6 8 12 15,3 3 3 2 2 2 3 2 2 1 1 2 3 2 1 0
ising_confirmatory_15,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_15,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_16,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_16,full,24,40,3,75,74,2 10 0 5 4 14 3 9 12 11 1 7 6 8 13 15,3 2 2 2 3 2 2 3 2 2 2 2 3 2 1 0
ising_confirmatory_16,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_16,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_17,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_17,full,24,40,4,135,134,3 11 0 2 4 5 8 13 1 6 7 12 9 10 14 15,3 3 4 3 3 3 3 3 4 3 4 3 3 2 1 0
ising_confirmatory_17,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_17,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_18,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_18,full,24,40,5,159,158,0 1 2 3 4 7 11 6 5 12 8 10 9 13 14 15,3 3 3 3 3 3 3 4 5 4 4 3 3 2 1 0
ising_confirmatory_18,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_18,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_19,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_19,full,24,40,4,119,118,1 2 3 5 10 0 12 4 8 6 7 9 11 13 14 15,3 3 3 3 3 4 3 3 3 3 3 3 3 2 1 0
ising_confirmatory_19,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_19,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_20,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_20,full,24,40,4,143,142,0 1 2 3 4 5 8 12 10 14 7 6 9 11 13 15,3 3 3 3 3 3 4 3 4 3 4 4 3 2 1 0
ising_confirmatory_20,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_20,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_21,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_21,full,24,40,4,143,142,0 2 3 4 5 6 8 7 9 10 11 1 12 13 14 15,3 3 3 3 3 3 3 4 4 4 3 4 3 2 1 0
ising_confirmatory_21,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_21,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_22,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_22,full,24,40,4,119,118,3 4 6 12 14 1 7 2 0 9 5 8 10 11 13 15,3 3 3 3 3 4 3 3 3 3 3 3 3 2 1 0
ising_confirmatory_22,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_22,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_23,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_23,full,24,40,4,151,150,3 5 7 8 11 10 13 0 1 2 4 6 9 12 14 15,3 3 3 3 3 4 4 4 3 3 4 4 3 2 1 0
ising_confirmatory_23,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_23,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_24,chain,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_24,full,24,40,4,115,114,0 3 8 2 4 7 14 9 6 10 1 5 12 11 13 15,3 3 3 4 3 4 3 3 3 2 2 3 2 2 1 0
ising_confirmatory_24,problem_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
ising_confirmatory_24,random_tree,15,31,1,31,30,tree_leaf_order,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
