instance_id,width,optimizer,step,success_at_step,alpha,line_trials,projection_displacement,energy,gap,pstar,dominant_index,dominant_probability,dominant_gap,dominant_hamming,dominant_local_min,entropy,effective_support,gradient_rms,gradient_ratio,fisher_condition,fisher_rank,fisher_min_kept,fisher_max,theta_norm,theta_target_cosine,beta_projection,transverse_norm,transverse_ratio,update_norm,update_target_cosine,gradient_update_dot,update_fisher_target_cosine,initialization,seed
ct_w3_i1,3,adam,0,False,,0,0.0,-9.206122912478785,3.793877087521217,0.0083075889408954,64512,0.0083075889408954,0.0,0,True,8.58446293921764,5347.919785927143,0.1920493323362521,1.0,272.32948610822024,49,0.0213600824898963,5.816980287702666,6.708203932499369,1.0,1.0,0.0,0.0,0.1399999806274134,0.3407341430061931,-0.1573944495081456,0.4112158808975101,exact_target,-1
ct_w3_i1,3,adam,38,True,,0,0.0,-12.901703215577175,0.098296784422823,0.9179805319605464,64512,0.9179805319605464,0.0,0,True,0.487352328854664,1.6280000997545887,0.0181927471233273,0.094729551527283,3965392.914833019,49,5.2103428598005483e-08,0.206610566601039,8.20972660971636,0.921990589284339,1.1283632326806006,3.178906995704844,0.4199742264234609,0.0,,0.0,,exact_target,-1
ct_w3_i1,3,armijo_gd,0,False,1.0,1,0.0,-9.206122912478785,3.793877087521217,0.0083075889408954,64512,0.0083075889408954,0.0,0,True,8.58446293921764,5347.919785927143,0.1920493323362521,1.0,272.32948610822024,49,0.0213600824898963,5.816980287702666,6.708203932499369,1.0,1.0,0.0,0.0,1.344345326353765,0.3066084004941904,-1.8072643564892108,0.4908598457374362,exact_target,-1
ct_w3_i1,3,armijo_gd,4,True,,0,0.0,-12.90294134252779,0.0970586574722105,0.9184806734573312,64512,0.9184806734573312,0.0,0,True,0.4878773741196337,1.6288550979350664,0.0179907883051583,0.0936779528796224,2731355.604063775,49,6.400140066023239e-08,0.1748105843612566,8.109699085055391,0.9177178895182414,1.109449862266206,3.2214382487385342,0.432848456668628,0.0,,0.0,,exact_target,-1
ct_w3_i1,3,diagonal_fisher,0,False,1.0,1,0.0,-9.206122912478785,3.793877087521217,0.0083075889408954,64512,0.0083075889408954,0.0,0,True,8.58446293921764,5347.919785927143,0.1920493323362521,1.0,272.32948610822024,49,0.0213600824898963,5.816980287702666,6.708203932499369,1.0,1.0,0.0,0.0,1.5684844457983862,0.3890161036101998,-2.0729650419191934,0.4971941564672071,exact_target,-1
ct_w3_i1,3,diagonal_fisher,2,True,,0,0.0,-12.965956234988717,0.0340437650112832,0.9670046017459236,64512,0.9670046017459236,0.0,0,True,0.2063966986538107,1.229240745434325,0.0074671427995785,0.0388813785954987,486232703219.1453,45,2.2880309727948083e-13,0.111251548495115,11.023512637048452,0.8442368600553822,1.3873245043126134,5.908274980667894,0.6348576916919932,0.0,,0.0,,exact_target,-1
ct_w3_i1,3,exact_natural,0,False,1.0,1,0.0,-9.206122912478785,3.793877087521217,0.0083075889408954,64512,0.0083075889408954,0.0,0,True,8.58446293921764,5347.919785927143,0.1920493323362521,1.0,272.32948610822024,49,0.0213600824898963,5.816980287702666,6.708203932499369,1.0,1.0,0.0,0.0,6.708203932499369,1.0,-2.765038279511834,1.0000000000000004,exact_target,-1
ct_w3_i1,3,exact_natural,5,True,,0,0.0,-12.953415622180332,0.0465843778196681,0.9542413720341516,64512,0.9542413720341516,0.0,0,True,0.3263448959356382,1.3858932754119535,0.0285142961033744,0.1484738101221294,2451745965.019541,49,5.883162262825203e-10,1.4424019339436924,40.24922359499622,1.0,6.0,0.0,0.0,0.0,,0.0,,exact_target,-1
ct_w3_i1,3,projected_adam,0,False,,0,0.0,-9.206122912478785,3.793877087521217,0.0083075889408954,64512,0.0083075889408954,0.0,0,True,8.58446293921764,5347.919785927143,0.1920493323362521,1.0,272.32948610822024,49,0.0213600824898963,5.816980287702666,6.708203932499369,1.0,1.0,0.0,0.0,0.0477027734199653,1.0,-0.0196624902689772,1.0000000000000002,exact_target,-1
ct_w3_i1,3,projected_adam,50,False,,0,0.0,-9.968385439547305,3.031614560452697,0.0237190649750106,64512,0.0237190649750106,0.0,0,True,7.708915420028703,2228.1243681618644,0.2148836337354508,1.1188981035311227,699.6170523128148,49,0.0110615997328928,7.738883798990685,8.778949748014968,1.0,1.3086885605077412,3.3380623550567164e-15,3.802348174747776e-16,0.0376711136480654,1.0,-0.0124172754464057,1.0000000000000009,exact_target,-1
