instance_id,width,optimizer,success,first_success,minimum_gap,final_gap,gradient_evaluations,projection_displacement,initialization,seed
ct_w4_i3,4,diagonal_fisher,True,3,0.0240212331181872,0.0240212331181872,7,0.0,exact_target,-1
ct_w4_i3,4,exact_natural,True,6,0.0399412025684515,0.0399412025684515,13,0.0,exact_target,-1
ct_w4_i3,4,projected_adam,False,-1,1.3645722132275804,1.3645722132275804,200,0.0,exact_target,-1
ct_w4_i3,4,ray_projected,False,-1,0.258036077490706,0.258036077490706,200,0.0,exact_target,-1
ct_w4_i3,4,target_direction,False,-1,0.258036077490706,0.258036077490706,200,0.0,exact_target,-1
ct_w4_i4,4,adam,True,38,0.0995629642398885,0.0995629642398885,39,0.0,exact_target,-1
ct_w4_i4,4,armijo_gd,True,5,0.0926835369211165,0.0926835369211165,11,0.0,exact_target,-1
ct_w4_i4,4,diagonal_fisher,True,2,0.0317318619517816,0.0317318619517816,5,0.0,exact_target,-1
ct_w4_i4,4,exact_natural,True,5,0.0441715971626663,0.0441715971626663,11,0.0,exact_target,-1
ct_w4_i4,4,projected_adam,False,-1,1.5972431342794329,1.5972431342794329,200,0.0,exact_target,-1
ct_w4_i4,4,ray_projected,False,-1,0.1204161730658643,0.1204161730658643,200,0.0,exact_target,-1
ct_w4_i4,4,target_direction,False,-1,0.1204161730658643,0.1204161730658643,200,0.0,exact_target,-1
ct_w4_i5,4,adam,True,39,0.0986763795107474,0.0986763795107474,40,0.0,exact_target,-1
ct_w4_i5,4,armijo_gd,True,5,0.0929782070661779,0.0929782070661779,11,0.0,exact_target,-1
ct_w4_i5,4,diagonal_fisher,True,3,0.0046864087396372,0.0046864087396372,7,0.0,exact_target,-1
ct_w4_i5,4,exact_natural,True,5,0.0582076284902335,0.0582076284902335,11,0.0,exact_target,-1
ct_w4_i5,4,projected_adam,False,-1,1.5622534621071456,1.5622534621071456,200,0.0,exact_target,-1
ct_w4_i5,4,ray_projected,False,-1,0.1556696608616814,0.1556696608616814,200,0.0,exact_target,-1
ct_w4_i5,4,target_direction,False,-1,0.1556696608616814,0.1556696608616814,200,0.0,exact_target,-1
ct_w5_i1,5,adam,False,-1,1.0062274676697864,1.0062274676697864,200,0.0,exact_target,-1
ct_w5_i1,5,armijo_gd,False,-1,1.0020700912590108,1.0020700912590108,399,0.0,exact_target,-1
ct_w5_i1,5,diagonal_fisher,False,-1,1.0000000020782451,1.0000000020782451,399,0.0,exact_target,-1
ct_w5_i1,5,exact_natural,True,5,0.0666040190794063,0.0666040190794063,11,0.0,exact_target,-1
ct_w5_i1,5,projected_adam,False,-1,1.1101276727359242,1.1101276727359242,200,0.0,exact_target,-1
ct_w5_i1,5,ray_projected,False,-1,0.172827915968968,0.172827915968968,200,0.0,exact_target,-1
ct_w5_i1,5,target_direction,False,-1,0.172827915968968,0.172827915968968,200,0.0,exact_target,-1
ct_w5_i2,5,adam,True,31,0.0962523453535659,0.0962523453535659,32,0.0,exact_target,-1
ct_w5_i2,5,armijo_gd,True,2,0.0927159108883177,0.0927159108883177,5,0.0,exact_target,-1
ct_w5_i2,5,diagonal_fisher,True,2,0.0292620274370012,0.0292620274370012,5,0.0,exact_target,-1
ct_w5_i2,5,exact_natural,True,5,0.0370530202265531,0.0370530202265531,11,0.0,exact_target,-1
ct_w5_i2,5,projected_adam,False,-1,1.2580357189370268,1.2580357189370268,200,0.0,exact_target,-1
ct_w5_i2,5,ray_projected,False,-1,0.1021345859357882,0.1021345859357882,200,0.0,exact_target,-1
ct_w5_i2,5,target_direction,False,-1,0.1021345859357882,0.1021345859357882,200,0.0,exact_target,-1
ct_w5_i3,5,adam,True,31,0.0968039956166055,0.0968039956166055,32,0.0,exact_target,-1
