instance_id,width,success,first_success,minimum_gap,first_trap,final_gap
ct_w5_i1,5,False,-1,1.0006425634509934,55,1.0006425634509934
ct_w6_i1,6,False,-1,1.0006606555118918,89,1.0006606555118918
