instance_id,width,optimizer,step,success_at_step,alpha,line_trials,projection_displacement,energy,gap,pstar,dominant_index,dominant_probability,dominant_gap,dominant_hamming,dominant_local_min,entropy,effective_support,gradient_rms,gradient_ratio,fisher_condition,fisher_rank,fisher_min_kept,fisher_max,theta_norm,theta_target_cosine,beta_projection,transverse_norm,transverse_ratio,update_norm,update_target_cosine,gradient_update_dot,update_fisher_target_cosine,replay_checkpoint,replay_budget
ct_w5_i1,5,adam,0,False,,0,0.0,-10.993772532330214,1.0062274676697864,1.3050483350482454e-12,9994,0.9691288465953103,1.0,8,True,0.18337423404911674,1.2012638778171987,0.0014052858773519318,1.0,45569088.13024984,51,6.744384006524485e-09,0.3073354291775618,8.309225914671824,0.8586598805473616,1.2712368154556908,4.258858944658905,0.596913660167173,0.14282609756112363,0.27444363727427296,-0.0010891814074566442,0.3055500902361743,199,1000
ct_w5_i1,5,adam,25,False,,0,0.0,-10.999596426507166,1.000403573492834,6.750973158699496e-20,9994,0.9982895271184875,1.0,8,True,0.014909802862485904,1.0150215084521514,0.0001118348709096294,0.07958158031187706,9434214811.26211,51,1.7295237565961499e-12,0.01631669864090908,10.052375748276571,0.7723443001906486,1.3833254999063662,6.385310553588307,0.8224364782133262,0.042134885185707883,0.27227787278729565,-2.3179210769824502e-05,0.4917016753643942,199,1000
ct_w5_i1,5,adam,50,False,,0,0.0,-10.999836777024179,1.0001632229758215,1.1230255008387028e-21,9994,0.9991386642650595,1.0,8,True,0.008016700294531817,1.0080489200775697,4.491397453410819e-05,0.03196073856427164,31394918316.1958,51,2.770645064024937e-13,0.008698417546823399,10.553471997251158,0.75124463011597,1.412607363969959,6.965543403596477,0.878573824131964,0.013854050678172311,0.2568179283362621,-3.5733170276044027e-06,0.565915989694996,199,1000
ct_w5_i1,5,adam,75,False,,0,0.0,-10.999893377293343,1.0001066227066566,2.239554272582116e-22,9994,0.9993372266191483,1.0,8,True,0.00630236407436343,1.006322265758078,2.8905799501177354e-05,0.02056933750422822,49959435276.41092,51,1.3881997150573145e-13,0.006935367381513798,10.766606173967814,0.7426800148702744,1.4247061140427009,7.209819824136818,0.9016621655844036,0.008533098609529924,0.25487489691097964,-1.4547135835832146e-06,0.5539242705290373,199,1000
ct_w5_i1,5,adam,100,False,,0,0.0,-10.999921273937632,1.0000787260623678,7.104995245954275e-23,9994,0.9994474192797798,1.0,8,True,0.005331707820688221,1.0053459466693768,2.114218433510112e-05,0.01504475685398665,69050482258.10577,51,8.569745467297052e-14,0.005917450573460774,10.920855184977212,0.7366867488051765,1.4334555463454006,7.385055291991342,0.9179398942467296,0.006912735344841083,0.2589043824397357,-8.545274968592128e-07,0.5178001980617604,199,1000
ct_w5_i1,5,adam,125,False,,0,0.0,-10.999938732921787,1.0000612670782125,2.676550200867772e-23,9994,0.9995254079862176,1.0,8,True,0.004635918398934438,1.004646680893557,1.635525645728495e-05,0.011638383848348482,90630664449.80568,51,5.704612278124514e-14,0.005170128011949444,11.052163990803452,0.7317254317144376,1.4409210734857725,7.533149565031061,0.9314962701330869,0.005971689080594428,0.2621314309950163,-5.662616587338386e-07,0.48834716203820655,199,1000
ct_w5_i1,5,adam,150,False,,0,0.0,-10.99995065420348,1.0000493457965192,1.1321590747805013e-23,9994,0.9995842966842615,1.0,8,True,0.004104693479690961,1.004113129272137,1.3119645420009429e-05,0.009335926327482633,115022068039.98163,51,3.991157500185506e-14,0.004590711895446202,11.16795459896632,0.7274506045269243,1.4475109974997697,7.663004316602296,0.9432393738736686,0.005269138217873754,0.2643713751611194,-3.985136298624435e-07,0.4659166052735536,199,1000
ct_w5_i1,5,adam,175,False,,0,0.0,-10.999959218206623,1.000040781793377,5.248041666704459e-24,9994,0.9996302827138843,1.0,8,True,0.003685709598900514,1.0036925101789451,1.0811416825532822e-05,0.007693393209007018,142246957312.3123,51,2.9028096965258256e-14,0.004129158469874753,11.271541338213709,0.7237011465968719,1.4534071486098779,7.778642904819977,0.953589072923745,0.00471218485806912,0.2659982887518394,-2.9253177914969056e-07,0.4481326447460404,199,1000
ct_w5_i1,5,adam,200,False,,0,0.0,-10.999965606174968,1.0000343938250325,2.621271922175147e-24,9994,0.9996671266179239,1.0,8,True,0.0033469826041239224,1.003352590004612,9.098323658679386e-06,0.006474357855089192,172287541110.80826,51,2.1786117581682286e-14,0.0037534766284989893,11.365202011245689,0.7203689611719598,1.4587365829361303,7.882802520483653,0.96282752075515,0.004260034628971741,0.2672398594539399,-2.2192152028846996e-07,0.43346672708143263,199,1000
ct_w5_i1,5,adam,225,False,,0,0.0,-10.999970515545373,1.0000294844546271,1.3927422570453453e-24,9994,0.9996972784931554,1.0,8,True,0.003067500454281889,1.0030722100481295,7.78670625530122e-06,0.005541012245831573,205130551104.26254,51,1.677952804704778e-14,0.0034419938355603414,11.450654173528832,0.7173750341463725,1.4635962230302828,7.977524241492169,0.9711617647082682,0.0038865320947792667,0.26822402557694786,-1.7290219549371133e-07,0.4210094447803848,199,1000
ct_w5_i1,5,adam,250,False,,0,0.0,-10.999974381789169,1.000025618210831,7.793705049245147e-25,9994,0.9997223970866115,1.0,8,True,0.002832924190252749,1.0028369407119249,6.756784208194628e-06,0.004808120765382528,240776767338.4853,51,1.3205655310267696e-14,0.003179614996192558,11.529222984150321,0.7146599575752692,1.4680613708519805,8.064369205197915,0.9787480604532194,0.0035733510297912088,0.2690270898329558,-1.3770988789824336e-07,0.41019163483183374,199,1000
