instance_id,width,optimizer,step,success_at_step,alpha,line_trials,projection_displacement,energy,gap,pstar,dominant_index,dominant_probability,dominant_gap,dominant_hamming,dominant_local_min,entropy,effective_support,gradient_rms,gradient_ratio,fisher_condition,fisher_rank,fisher_min_kept,fisher_max,theta_norm,theta_target_cosine,beta_projection,transverse_norm,transverse_ratio,update_norm,update_target_cosine,gradient_update_dot,update_fisher_target_cosine,replay_checkpoint,replay_budget,trap_v1
ct_w5_i1,5,adam,0,False,,0,0.0,-10.993772532330214,1.0062274676697864,1.3050483350482454e-12,9994,0.9691288465953104,1.0,8,True,0.1833742340491167,1.201263877817199,0.0014052858773519,1.0,45569088.13024984,51,6.744384006524485e-09,0.3073354291775618,8.309225914671824,0.8586598805473616,1.2712368154556908,4.258858944658905,0.596913660167173,0.1428260975611236,0.2744436372742729,-0.0010891814074566,0.3055500902361743,199,1000,False
ct_w5_i1,5,adam,25,False,,0,0.0,-10.999596426507166,1.000403573492834,6.750973158699496e-20,9994,0.9982895271184876,1.0,8,True,0.0149098028624859,1.0150215084521514,0.0001118348709096,0.079581580311877,9434214811.26211,51,1.72952375659615e-12,0.016316698640909,10.052375748276573,0.7723443001906486,1.3833254999063662,6.385310553588307,0.8224364782133262,0.0421348851857078,0.2722778727872956,-2.3179210769824506e-05,0.4917016753643942,199,1000,True
ct_w5_i1,5,adam,50,False,,0,0.0,-10.99983677702418,1.0001632229758215,1.1230255008387028e-21,9994,0.9991386642650596,1.0,8,True,0.0080167002945318,1.0080489200775695,4.491397453410819e-05,0.0319607385642716,31394918316.1958,51,2.770645064024937e-13,0.0086984175468233,10.553471997251158,0.75124463011597,1.412607363969959,6.965543403596477,0.878573824131964,0.0138540506781723,0.2568179283362621,-3.5733170276044027e-06,0.565915989694996,199,1000,True
ct_w5_i1,5,adam,75,False,,0,0.0,-10.999893377293343,1.0001066227066566,2.239554272582116e-22,9994,0.9993372266191484,1.0,8,True,0.0063023640743634,1.006322265758078,2.8905799501177354e-05,0.0205693375042282,49959435276.41092,51,1.3881997150573145e-13,0.0069353673815137,10.766606173967814,0.7426800148702744,1.4247061140427009,7.209819824136818,0.9016621655844036,0.0085330986095299,0.2548748969109796,-1.4547135835832146e-06,0.5539242705290373,199,1000,True
ct_w5_i1,5,adam,100,False,,0,0.0,-10.999921273937632,1.0000787260623678,7.104995245954275e-23,9994,0.9994474192797798,1.0,8,True,0.0053317078206882,1.0053459466693768,2.114218433510112e-05,0.0150447568539866,69050482258.10577,51,8.569745467297053e-14,0.0059174505734607,10.920855184977212,0.7366867488051765,1.4334555463454006,7.385055291991342,0.9179398942467296,0.006912735344841,0.2589043824397357,-8.545274968592128e-07,0.5178001980617604,199,1000,True
ct_w5_i1,5,adam,125,False,,0,0.0,-10.999938732921787,1.0000612670782123,2.676550200867772e-23,9994,0.9995254079862176,1.0,8,True,0.0046359183989344,1.004646680893557,1.635525645728495e-05,0.0116383838483484,90630664449.80568,51,5.704612278124514e-14,0.0051701280119494,11.052163990803452,0.7317254317144376,1.4409210734857725,7.533149565031061,0.9314962701330868,0.0059716890805944,0.2621314309950163,-5.662616587338386e-07,0.4883471620382065,199,1000,True
ct_w5_i1,5,adam,150,False,,0,0.0,-10.99995065420348,1.0000493457965192,1.1321590747805013e-23,9994,0.9995842966842616,1.0,8,True,0.0041046934796909,1.004113129272137,1.3119645420009427e-05,0.0093359263274826,115022068039.98164,51,3.9911575001855064e-14,0.0045907118954462,11.16795459896632,0.7274506045269243,1.4475109974997695,7.663004316602296,0.9432393738736686,0.0052691382178737,0.2643713751611194,-3.985136298624435e-07,0.4659166052735536,199,1000,True
ct_w5_i1,5,adam,175,False,,0,0.0,-10.999959218206625,1.000040781793377,5.248041666704459e-24,9994,0.9996302827138844,1.0,8,True,0.0036857095989005,1.0036925101789451,1.0811416825532822e-05,0.007693393209007,142246957312.3123,51,2.9028096965258256e-14,0.0041291584698747,11.271541338213709,0.7237011465968719,1.453407148609878,7.778642904819977,0.953589072923745,0.0047121848580691,0.2659982887518394,-2.925317791496906e-07,0.4481326447460404,199,1000,True
ct_w5_i1,5,adam,200,False,,0,0.0,-10.999965606174968,1.0000343938250325,2.6212719221751473e-24,9994,0.999667126617924,1.0,8,True,0.0033469826041239,1.003352590004612,9.098323658679386e-06,0.0064743578550891,172287541110.80826,51,2.1786117581682286e-14,0.0037534766284989,11.365202011245689,0.7203689611719598,1.4587365829361305,7.882802520483653,0.96282752075515,0.0042600346289717,0.2672398594539399,-2.2192152028847001e-07,0.4334667270814326,199,1000,True
ct_w5_i1,5,adam,225,False,,0,0.0,-10.999970515545373,1.0000294844546271,1.3927422570453451e-24,9994,0.9996972784931554,1.0,8,True,0.0030675004542818,1.0030722100481295,7.78670625530122e-06,0.0055410122458315,205130551104.2625,51,1.6779528047047783e-14,0.0034419938355603,11.450654173528832,0.7173750341463725,1.4635962230302828,7.977524241492169,0.9711617647082682,0.0038865320947792,0.2682240255769478,-1.7290219549371133e-07,0.4210094447803848,199,1000,True
