instance_id,width,step,trap,energy,gap,pstar,dominant_index,dominant_probability,dominant_gap,dominant_hamming,dominant_local_min,entropy,effective_support,gradient_rms,gradient_ratio,fisher_condition,fisher_rank,fisher_min_kept,fisher_max,theta_norm,theta_target_cosine,beta_projection,transverse_norm,transverse_ratio,update_norm,update_target_cosine,gradient_update_dot,update_fisher_target_cosine
ct_w5_i1,5,0,False,-8.294591287010245,3.7054087129897546,0.007628329428796229,64512,0.007628329428796229,0.0,0,True,8.58129511838121,5331.005339310763,0.12991868261203157,1.0,69.26731753446465,51,0.06508758318153068,4.508442291785967,5.612486080160912,1.0,1.0,0.0,0.0,0.1428285379799268,0.573835593570283,-0.10929312116685182,0.4246049471900844
ct_w5_i1,5,25,False,-10.889762516778726,1.1102374832212742,9.407083035085355e-08,9994,0.6978292692949751,1.0,8,True,1.3233565520250856,3.756007476998026,0.025522433139759604,0.19644929140773176,336490.7875524444,51,6.882984113877131e-06,2.3160607451894792,7.2078423712522754,0.934974391641487,1.2007420490415035,2.556731389141885,0.37938495718487686,0.07127780242818336,0.25462067747474465,-0.010726835948125173,0.53954859668557
ct_w5_i1,5,50,False,-10.971747845189077,1.0282521548109234,2.2985369689240383e-10,9994,0.8907473059306669,1.0,8,True,0.5377346652210161,1.712123931888015,0.006789639283265833,0.05226068450479388,8189456.553823623,51,1.2435585750792425e-07,1.0184068922746268,7.754687352988011,0.8975195953527803,1.2400892858769597,3.41961996116047,0.49132584677398405,0.017068884802529556,0.19944630878946118,-0.0007510304796579529,0.47582117911692656
ct_w5_i1,5,55,True,-10.975012707236873,1.024987292763127,1.465047778855399e-10,9994,0.900907934636224,1.0,8,True,0.49478017986147765,1.640137664139155,0.005981584378694018,0.04604098701151756,9884889.487749703,51,9.424579354661851e-08,0.931609253893598,7.799059472319496,0.8943840124042035,1.2428278670460657,3.488518851737628,0.5001206820197278,0.013880142073919051,0.19029583987165585,-0.0005462864723180212,0.4686866027855345
ct_w5_i1,5,100,True,-10.986582350228051,1.0134176497719487,1.854886828752322e-11,9994,0.9404036150481677,1.0,8,True,0.321402236186494,1.3790601772535582,0.003113844819596792,0.02396764466043334,20642063.731965262,51,2.7886354228341245e-08,0.575631901233579,8.014805213134888,0.8789140070931122,1.2551166212861569,3.822903871939196,0.5426927501920383,0.006431850602358584,0.17192221075499484,-0.00013505314788203168,0.42123958288326036
ct_w5_i1,5,150,True,-10.991309344735171,1.0086906552648287,4.262857244866703e-12,9994,0.9588670222219927,1.0,8,True,0.23444658059350065,1.2642089373408223,0.0019813980086826485,0.015251062963743093,32323654.1367143,51,1.2479422596432957e-08,0.40338053983299604,8.176377108745802,0.867621382147429,1.2639674302488861,4.065502697751932,0.5730903471067772,0.004917872952279213,0.18302251763903363,-6.567407930231979e-05,0.3995802763458066
ct_w5_i1,5,199,True,-10.993772532330214,1.0062274676697864,1.3050483350482454e-12,9994,0.9691288465953103,1.0,8,True,0.18337423404911674,1.2012638778171987,0.0014052858773519318,0.0108166573821292,45569088.13024984,51,6.744384006524485e-09,0.3073354291775618,8.309225914671824,0.8586598805473616,1.2712368154556908,4.258858944658905,0.596913660167173,0.004020551728447535,0.19136546624918227,-3.810677498992362e-05,0.3900256081389803
ct_w5_i1,5,399,True,-10.99749069155769,1.0025093084423098,4.3025322884877795e-14,9994,0.9857136870217649,1.0,8,True,0.0941137757555753,1.098684742492965,0.0005556054328112306,0.004276563013422804,117250663.51420845,51,1.2846835382496947e-09,0.1506299972655577,8.703947658451142,0.833663522583378,1.292860875143175,4.806952642065853,0.6624647491120326,0.0023168811103805895,0.21058658200192246,-8.706434160834607e-06,0.37310948482279055
ct_w5_i1,5,599,True,-10.998595602818613,1.0014043971813873,4.392706455582991e-15,9994,0.9911209974855391,1.0,8,True,0.062039692222714986,1.0640045765965138,0.0003086481802197589,0.002375702816672307,215380382.52021042,51,4.537256105007023e-10,0.09772359554885726,8.976307021734899,0.8177035039505328,1.307790807740936,5.167118021574409,0.7039710894535289,0.00164892735452821,0.220122612724936,-3.4468215106614964e-06,0.3624532048369209
ct_w5_i1,5,799,True,-10.999089066641645,1.0009109333583552,7.718524800277688e-16,9994,0.9937149140657281,1.0,8,True,0.04573872199388681,1.0468008691793715,0.00019940150139194154,0.0015348177597166866,339311415.0122194,51,2.105713652586964e-10,0.07144926790698318,9.187811842935174,0.8059549761927485,1.3193730139147122,5.4389717999837535,0.7345036077286725,0.0012943059122398966,0.22599099537021933,-1.7491682089960243e-06,0.35336733642989365
