initialization,optimizer,logged_trajectories,final_traps,final_trap_rate,median_final_fisher_condition,median_final_transverse_ratio,median_final_pstar
exact_target,adam,20,2,0.1,3558932.676698695,0.44306338190749994,0.9168672655615511
exact_target,armijo_gd,20,1,0.05,2057103.4445549822,0.45362316997115726,0.9232772768513307
exact_target,diagonal_fisher,20,0,0.0,537576270954.83386,0.808508983662102,0.9763146569230544
exact_target,exact_natural,20,0,0.0,8817480.839544287,0.0,0.9463547106638042
exact_target,projected_adam,20,0,0.0,2418.2488531724757,3.95798039340181e-16,0.14915899276681954
exact_target,ray_projected,20,0,0.0,969524.9763052214,2.9128246893648737e-15,0.8431120558745585
exact_target,target_direction,20,0,0.0,969524.9763052214,2.9128246893648737e-15,0.8431120558745585
target_biased,adam,100,58,0.58,50473075.02323364,0.6810896946813717,2.572902184386075e-10
target_biased,armijo_gd,100,50,0.5,50921609.76166116,0.7248079583697369,2.7919457389229018e-09
target_biased,diagonal_fisher,100,38,0.38,496404702841.437,1.4418038592020994,2.0983898248570365e-27
target_biased,exact_natural,100,0,0.0,219979884.33097926,0.05112932642421615,0.9405032133800779
target_biased,projected_adam,100,0,0.0,3967.6413301079997,0.17696587542821968,0.0339539921931879
target_biased,ray_projected,100,0,0.0,967516.9091468848,3.0142556399826914e-15,0.8466197959352593
target_biased,target_direction,100,0,0.0,5513478.430065358,0.06988473375689974,0.7485881269816876
