instance_id,instance_width,split,graph,seed,blocks,max_block_size,stored_entries,cosine_exact_natural,cosine_target,relative_error
ct_w3_i1,3,calibration,chain,0,16,3,91,0.9480100799489463,-0.8298313062360995,0.3192846503309307
ct_w3_i1,3,calibration,chain,19,16,3,91,0.9520657514442828,-0.8502897663530763,0.3097427281668175
ct_w3_i1,3,calibration,chain,42,16,3,91,0.9378485561935556,-0.8425078043538656,0.3529760703815368
ct_w3_i1,3,calibration,chain,50,16,3,91,0.9401713040387646,-0.8204588033666049,0.3408659125019182
ct_w3_i1,3,calibration,chain,101,16,3,91,0.9509457335221781,-0.8576039551857148,0.329571868344469
ct_w3_i1,3,calibration,problem_tree,0,16,3,91,0.4817668589527178,0.16844677317556522,0.9205315043875133
ct_w3_i1,3,calibration,problem_tree,19,16,3,91,0.5588695982502905,0.3065520551314706,0.830281439624109
ct_w3_i1,3,calibration,problem_tree,42,16,3,91,0.5378610863213731,0.41486990427422105,0.8500904428704353
ct_w3_i1,3,calibration,problem_tree,50,16,3,91,0.5429475078913989,0.3099449068235184,0.8478159677221999
ct_w3_i1,3,calibration,problem_tree,101,16,3,91,0.5670815992771391,0.4246912277524658,0.8242414660233479
ct_w3_i1,3,calibration,width2,0,16,6,301,0.7244037561310841,0.6819068129818404,0.7904998024418551
ct_w3_i1,3,calibration,width2,19,16,6,301,0.7569774795352249,0.7259734331577979,0.7611862747829375
ct_w3_i1,3,calibration,width2,42,16,6,301,0.7716767995272238,0.7537843826233904,0.7644668716977268
ct_w3_i1,3,calibration,width2,50,16,6,301,0.6868075550154146,0.632861983296805,0.813555644095235
ct_w3_i1,3,calibration,width2,101,16,6,301,0.7462252900568146,0.7062818498973854,0.7872611165269525
ct_w3_i1,3,calibration,width3,0,16,10,452,0.709764350707682,0.7097643507077154,0.8172121398455374
ct_w3_i1,3,calibration,width3,19,16,10,452,0.7416542973796306,0.7416542973797715,0.784130055289176
ct_w3_i1,3,calibration,width3,42,16,10,452,0.7575237139930322,0.7575237139929857,0.7866597561236158
ct_w3_i1,3,calibration,width3,50,16,10,452,0.6902652897042072,0.6902652897038953,0.8287937127734654
ct_w3_i1,3,calibration,width3,101,16,10,452,0.7019650891950464,0.7019650891950843,0.8254294662832307
ct_w3_i2,3,evaluation,chain,0,16,3,91,0.8988526412493437,-0.5893797276031281,0.45061866728353395
ct_w3_i2,3,evaluation,chain,19,16,3,91,0.8490170239724648,-0.678475100118776,0.5832756722107844
ct_w3_i2,3,evaluation,chain,42,16,3,91,0.8262893496008186,-0.655893103849273,0.5987393465897686
ct_w3_i2,3,evaluation,chain,50,16,3,91,0.8250695855812509,-0.4631346196530255,0.5738874312349178
ct_w3_i2,3,evaluation,chain,101,16,3,91,0.9121218975099256,-0.6202383903577668,0.44526061861292365
ct_w3_i2,3,evaluation,problem_tree,0,16,3,91,0.6635417958564194,0.41317387014488727,0.7594032115417223
ct_w3_i2,3,evaluation,problem_tree,19,16,3,91,0.6210021465098527,0.30116628276697166,0.7850614969723488
ct_w3_i2,3,evaluation,problem_tree,42,16,3,91,0.5943960896351984,0.4266657795494234,0.8086746314510813
ct_w3_i2,3,evaluation,problem_tree,50,16,3,91,0.6747828770620806,0.4420675028574725,0.7454782376153778
ct_w3_i2,3,evaluation,problem_tree,101,16,3,91,0.7204454223301586,0.4607514374013933,0.6935741254067548
ct_w3_i2,3,evaluation,width2,0,16,6,275,0.8209422814624027,0.7279419910751039,0.6911911724179585
ct_w3_i2,3,evaluation,width2,19,16,6,275,0.7497526828425102,0.6567087667455942,0.7385591217380459
ct_w3_i2,3,evaluation,width2,42,16,6,275,0.8091832180081396,0.7554111591651564,0.721891091976783
ct_w3_i2,3,evaluation,width2,50,16,6,275,0.7744936323517891,0.6809276810674866,0.7103120031934539
ct_w3_i2,3,evaluation,width2,101,16,6,275,0.7805550134798913,0.6927552540632873,0.7124306605216861
ct_w3_i2,3,evaluation,width3,0,16,10,431,0.7454356627833744,0.7454356627833804,0.7736635277702606
ct_w3_i2,3,evaluation,width3,19,16,10,431,0.7856366683532447,0.7856366683531799,0.7564096084448383
ct_w3_i2,3,evaluation,width3,42,16,10,431,0.8210252898897652,0.821025289889764,0.734277360003269
ct_w3_i2,3,evaluation,width3,50,16,10,431,0.7419187543977728,0.7419187543975692,0.7685895164100102
ct_w3_i2,3,evaluation,width3,101,16,10,431,0.7268502042005549,0.7268502042005996,0.7696636896793123
ct_w3_i3,3,evaluation,chain,0,16,3,91,0.9573372654638508,-0.771367594005351,0.29155471583091336
ct_w3_i3,3,evaluation,chain,19,16,3,91,0.9469171299245738,-0.8509756898217228,0.32206176124924385
ct_w3_i3,3,evaluation,chain,42,16,3,91,0.9419307418860979,-0.8542061160183482,0.3364567010436767
ct_w3_i3,3,evaluation,chain,50,16,3,91,0.9282108170986425,-0.7844146631001611,0.3724552237732668
ct_w3_i3,3,evaluation,chain,101,16,3,91,0.9466537082492644,-0.8614838610162066,0.3358323604615448
ct_w3_i3,3,evaluation,problem_tree,0,16,3,91,0.5782804708382653,0.4580609635165846,0.8255436900669434
ct_w3_i3,3,evaluation,problem_tree,19,16,3,91,0.6429238972327279,0.5708927322365783,0.7750471756125514
ct_w3_i3,3,evaluation,problem_tree,42,16,3,91,0.6262727538150887,0.45654961956063833,0.7799620327991738
ct_w3_i3,3,evaluation,problem_tree,50,16,3,91,0.5721519478715986,0.3492221018878515,0.8201697563536529
ct_w3_i3,3,evaluation,problem_tree,101,16,3,91,0.6792809122125475,0.5732713488802305,0.7512997536721157
ct_w3_i3,3,evaluation,width2,0,16,6,259,0.7536748405110544,0.6658705954050324,0.7471253183900787
ct_w3_i3,3,evaluation,width2,19,16,6,259,0.8215222641506225,0.7994261541870915,0.7376141357054679
ct_w3_i3,3,evaluation,width2,42,16,6,259,0.731893112865694,0.6786112267783652,0.7689869533251198
ct_w3_i3,3,evaluation,width2,50,16,6,259,0.6656858229808751,0.6243566237322806,0.7972664376604008
ct_w3_i3,3,evaluation,width2,101,16,6,259,0.7409806891737359,0.706204321779588,0.772749657635927
ct_w3_i3,3,evaluation,width3,0,16,10,425,0.7627259961989782,0.762725996198971,0.762913819088557
ct_w3_i3,3,evaluation,width3,19,16,10,425,0.7768853473713561,0.7768853473712694,0.760631406225001
ct_w3_i3,3,evaluation,width3,42,16,10,425,0.7645663563728525,0.76456635637284,0.7725288527764621
ct_w3_i3,3,evaluation,width3,50,16,10,425,0.7366533240923017,0.736653324092349,0.7879956672008697
ct_w3_i3,3,evaluation,width3,101,16,10,425,0.7316323405826876,0.7316323405827743,0.7861800485893259
ct_w3_i4,3,evaluation,chain,0,16,3,91,0.948315381809785,-0.8323248901262342,0.33248260346188113
