instance_id,instance_width,split,graph,sample_budget,seed,method,parameter_dimension,success,first_success_step,minimum_gap,initial_gradient_rms,sample_batches,total_samples,stored_metric_entries,first_direction_cosine_exact_ng,first_direction_cosine_projected_target,first_sample_rank,first_sample_alignment_residual,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_fisher_min_kept,final_fisher_max,final_trap_candidate
ct_w3_i1,3,calibration,chain,256,0,sampled_adam,31,0,,1.050975047565654,0.3571014757154819,199,50944,62,,-0.4458092665037018,25,2.0403168184177938,1.050975047565654,2.754488428751915e-20,0.9628867345378358,1.0,9,1,0.0113938086744822,0.0319063612147047,334007.75634426135,31,2.2976967712181614e-07,0.0767448543314031,1
ct_w3_i1,3,calibration,chain,256,0,sampled_diagonal_fisher,31,0,,1.0000338252666197,0.3571014757154819,199,50944,31,,-0.5587139143864484,25,2.0403168184177938,1.0000338252666197,1.2119387525454612e-40,0.999961129063939,1.0,9,1,9.79835999311963e-06,2.7438587234868792e-05,13529028.819008052,31,1.031898338784308e-11,0.0001396058236369,1
ct_w3_i1,3,calibration,chain,256,0,sampled_two_block_fisher,31,0,,1.000090631621939,0.3571014757154819,199,50944,256,,-0.6353575012592894,25,2.0403168184177938,1.000090631621939,1.4292783510873992e-38,0.9999155586364532,1.0,9,1,2.462025353082344e-05,6.894469837038547e-05,3148573.4898578096,31,9.812062585058058e-11,0.0003089400013613,1
ct_w3_i1,3,calibration,chain,256,0,sampled_star_fisher,31,0,,1.000046686066197,0.3571014757154819,199,50944,90,,-0.3256337670508067,25,2.0403168184177938,1.000046686066197,1.149317561213355e-37,0.8204400119982364,1.0,9,1,1.0319090801959333e-05,2.8896802460096784e-05,,-1,,,0
ct_w3_i1,3,calibration,chain,256,0,sampled_full_fisher,31,0,,1.000115640043699,0.3571014757154819,199,50944,496,,-0.6589618388778631,25,2.0403168184177938,1.000115640043699,3.257376789893862e-40,0.9999095595162208,1.0,9,1,2.562255178905924e-05,7.175145870714301e-05,575132.9111362181,31,3.65870203054305e-10,0.0002104239949806,1
ct_w3_i1,3,calibration,chain,256,0,protected_ray_star,31,0,,4.533754650310591,0.3571014757154819,199,50944,90,,-0.9806981695552084,25,2.0403168184177938,5.02792050922394,4.1147497894446994e-08,0.0139770798700555,1.0,9,1,0.3131054874897748,0.8767969576783249,,-1,,,0
ct_w3_i1,3,calibration,chain,256,19,sampled_adam,31,0,,3.035563535686695,0.3738585704099483,199,50944,62,,-0.5806108814135805,24,1.9090500215648287,3.035563535686695,9.634133222241456e-21,0.9673069816470172,3.0,11,1,0.0083605921602715,0.0223629811431201,12575.103262699107,31,5.866790354887073e-06,0.073775494533312,1
ct_w3_i1,3,calibration,chain,256,19,sampled_diagonal_fisher,31,0,,3.000078828959067,0.3738585704099483,199,50944,31,,-0.6940911156491573,24,1.9090500215648287,3.000078828959067,1.869360773276712e-35,0.9998879685687192,3.0,11,1,2.34398213348448e-05,6.269702820813299e-05,3502770.024020584,31,1.52583717803331e-10,0.0005344656728751,1
ct_w3_i1,3,calibration,chain,256,19,sampled_two_block_fisher,31,0,,2.0000518744580558,0.3738585704099483,199,50944,256,,-0.8032178689455722,24,1.9090500215648287,2.0000518744580558,3.6736326803447335e-43,0.9999500166083646,2.0,11,1,1.3467868679003995e-05,3.602396666802645e-05,982328.8503548309,31,1.591866538352695e-10,0.0001563736426538,1
ct_w3_i1,3,calibration,chain,256,19,sampled_star_fisher,31,0,,3.000149408447788,0.3738585704099483,199,50944,90,,-0.1407226721544767,24,1.9090500215648287,3.000149408447788,1.044079328074951e-30,0.9730314813363552,3.0,8,1,5.5199315899005554e-05,0.000147647587264,257039816.47982845,31,1.2203192293844435e-09,0.313670630767783,1
