instance_id,instance_width,split,graph,sample_budget,seed,method,parameter_dimension,success,first_success_step,minimum_gap,initial_gradient_rms,sample_batches,total_samples,stored_metric_entries,max_bag_feature_block,first_direction_cosine_exact_ng,first_direction_cosine_projected_target,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_trap_candidate
ct_w3_i1,3,calibration,chain,256,0,sampled_bag_fisher,31,0,,1.0000703182191142,0.35710147571548195,199,50944,91,3,0.8585931894276466,-0.6464266961133103,25,1.0000703182191142,4.375264706876778e-38,0.9999406646194897,1.0,9,1,1.5490765595046058e-05,4.3379169923644375e-05,1399227.474387073,31,1
ct_w3_i1,3,calibration,chain,256,19,sampled_bag_fisher,31,0,,2.0001505410817693,0.3738585704099483,199,50944,91,3,0.8497025395004941,-0.7842901200742874,24,2.0001505410817693,2.4255663479313674e-31,0.9998676067798955,2.0,9,1,4.3019752485874605e-05,0.00011506959018941849,325677.340257742,31,1
ct_w3_i1,3,calibration,chain,256,42,sampled_bag_fisher,31,0,,1.0000753443826866,0.37836201166146627,199,50944,91,3,0.7928409284931512,-0.6559835845370212,28,1.0000753443826866,1.5039999148929864e-38,0.9999297058689924,1.0,9,1,1.848479989207344e-05,4.885479863822174e-05,2261198.774882522,31,1
ct_w3_i1,3,calibration,chain,256,50,sampled_bag_fisher,31,0,,3.0001179770959805,0.3562232892067621,199,50944,91,3,0.638474026134888,-0.36949925438917464,25,3.0001179770959805,1.5889384957592037e-34,0.5601827960986339,3.0,9,0,4.1266051711094826e-05,0.00011584321677278892,,-1,0
ct_w3_i1,3,calibration,chain,256,101,sampled_bag_fisher,31,0,,1.0002860930563884,0.35050307786236257,199,50944,91,3,0.7188479215660809,-0.5964720928864218,23,1.0002860930563884,9.091873044432894e-39,0.8832678712113805,1.0,9,1,9.130576341873035e-05,0.0002604991772842143,,-1,0
ct_w3_i1,3,calibration,problem_tree,256,0,sampled_bag_fisher,31,1,4.0,0.05391810017994558,0.5207616003950425,4,1024,91,3,0.3374609761983145,0.0861428125992514,25,0.05391810017994558,0.951331750246744,0.951331750246744,0.0,0,1,0.017278697702767663,0.03317966933364573,,-1,0
ct_w3_i1,3,calibration,problem_tree,256,19,sampled_bag_fisher,31,1,5.0,0.0772114027206996,0.3882653006843401,5,1280,91,3,0.5828859307776405,0.34060467396282035,26,0.0772114027206996,0.9242384235764789,0.9242384235764789,0.0,0,1,0.032616004394346296,0.0840044277375771,,-1,0
ct_w3_i1,3,calibration,problem_tree,256,42,sampled_bag_fisher,31,1,6.0,0.0841849087781057,0.45951311758829305,6,1536,91,3,0.46158321376788436,0.3195606819717461,25,0.0841849087781057,0.919357157913199,0.919357157913199,0.0,0,1,0.03466119598077659,0.07543026445619722,,-1,0
ct_w3_i1,3,calibration,problem_tree,256,50,sampled_bag_fisher,31,1,4.0,0.04880796598298964,0.4679813502560596,4,1024,91,3,0.48691136039816735,0.2939300947728132,25,0.04880796598298964,0.9543747574852454,0.9543747574852454,0.0,0,1,0.016177133340518537,0.034567901758621566,,-1,0
ct_w3_i1,3,calibration,problem_tree,256,101,sampled_bag_fisher,31,1,6.0,0.04782248500061037,0.37861039352133397,6,1536,91,3,0.4796787628515484,0.3353786499074421,26,0.04782248500061037,0.9550988951050042,0.9550988951050042,0.0,0,1,0.017458799421534377,0.04611283715472171,,-1,0
