method,metric,spearman,pearson
protected_ray_star,explained_variance_fraction,0.5750766558599734,0.5123090058063897
protected_ray_star,pair_weight_fraction,0.7007731789346326,0.6769991941812096
protected_ray_star,target_norm_fraction,0.6973614344093062,0.67468447349839
protected_ray_star,exact_ng_projected_target_cosine,0.7147319806532032,0.6044463057289302
protected_ray_star,conditional_angle_entries,0.5909386859128086,0.5600349314554622
sampled_adam,explained_variance_fraction,0.2672727100112306,0.1850954174848855
sampled_adam,pair_weight_fraction,0.27977888016258357,0.3613650857538077
sampled_adam,target_norm_fraction,0.28734021266149035,0.36549736939816146
sampled_adam,exact_ng_projected_target_cosine,0.30052848631857126,0.5342199639891355
sampled_adam,conditional_angle_entries,0.09444441667579358,0.00221841085988174
sampled_diagonal_fisher,explained_variance_fraction,0.23706999064807655,0.20089590658260367
sampled_diagonal_fisher,pair_weight_fraction,0.23584574772964847,0.36791908892928377
sampled_diagonal_fisher,target_norm_fraction,0.2420440740923781,0.3716636358730398
sampled_diagonal_fisher,exact_ng_projected_target_cosine,0.24828378682712515,0.5547917210230611
sampled_diagonal_fisher,conditional_angle_entries,0.03406542192332242,0.0043798331927500924
sampled_full_fisher,explained_variance_fraction,0.4113281114227511,0.4592596919234514
sampled_full_fisher,pair_weight_fraction,0.4380651808767353,0.7236173440573301
sampled_full_fisher,target_norm_fraction,0.44419782006150277,0.7268513296699999
sampled_full_fisher,exact_ng_projected_target_cosine,0.4377019480327709,0.8348286853534319
sampled_full_fisher,conditional_angle_entries,0.1859655720694219,0.3535209077808422
sampled_star_fisher,explained_variance_fraction,0.2729143145267423,0.2606185335303013
sampled_star_fisher,pair_weight_fraction,0.2942038263076792,0.47105810926475533
sampled_star_fisher,target_norm_fraction,0.30143784385787425,0.4744536574260129
sampled_star_fisher,exact_ng_projected_target_cosine,0.32017040641350425,0.6398013202691729
sampled_star_fisher,conditional_angle_entries,0.0886872658359919,0.1046374353600995
sampled_two_block_fisher,explained_variance_fraction,0.31860022576728475,0.28216100878116884
sampled_two_block_fisher,pair_weight_fraction,0.3293911516854017,0.4689803820997255
sampled_two_block_fisher,target_norm_fraction,0.33498474391817107,0.4720602036166991
sampled_two_block_fisher,exact_ng_projected_target_cosine,0.3311298816493873,0.6321587365641768
sampled_two_block_fisher,conditional_angle_entries,0.11569086342408302,0.11119634824646396
