instance_id,instance_width,split,graph,seed,budget,success,first_success_step,minimum_gap,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_fisher_condition,final_fisher_rank,gradient_evaluations,iterations,mean_accepted_alpha,minimum_accepted_alpha,first_direction_cosine_exact_natural,first_direction_cosine_projected_target,final_target_beta,final_transverse_norm,initial_target_beta
ct_w3_i1,3,calibration,chain,0,200,0,,1.0000000000076295,1.0000000000076295,4.976036314581212e-93,0.9871062422336461,1.0,9,1,1.8145982186345963e-12,46570823314.46178,9,68,34,1.0,1.0,1.0,-0.8557420017157078,2.367425385440241,34.72123834135719,1.0653433793234621
ct_w3_i1,3,calibration,chain,19,200,0,,1.0000000000000018,1.0000000000000018,2.6864032154001166e-111,0.999991629819658,1.0,9,1,5.994275759132069e-15,918799056113.0952,12,90,45,1.0,1.0,1.0,-0.8919174107275435,2.282783255161019,40.27754021788586,0.9503465411780939
ct_w3_i1,3,calibration,chain,42,200,0,,1.0000000000195008,1.0000000000195008,5.076885792607689e-93,0.9611551725195803,1.0,9,1,4.543860793632099e-12,343623701291.01697,10,68,34,1.0,1.0,1.0,-0.8893684092982903,1.9884327596330513,35.22969979818574,0.975101121426946
ct_w3_i1,3,calibration,chain,50,200,0,,1.000000000147951,1.000000000147951,7.55566797792202e-80,0.57721325662966,1.0,11,1,3.035711123610811e-11,32831855716.55977,9,80,40,1.0,1.0,1.0,-0.8573754583402627,1.991547563554263,33.14540245021091,1.0414249909848043
ct_w3_i1,3,calibration,chain,101,200,0,,2.000000000172582,2.000000000172582,3.0207134314757283e-64,0.8654941777387926,2.0,13,1,4.750687444336041e-11,751442515051.8949,16,154,77,1.0,1.0,1.0,-0.9036191295236763,2.204279806481331,37.4328135923691,0.9973608866798054
ct_w3_i1,3,calibration,problem_tree,0,200,1,4.0,0.0923696562016012,0.0923696562016012,0.9148434839800654,0.9148434839800654,0.0,0,1,0.024076275873185272,487407732.4698467,30,10,5,1.0,1.0,1.0,0.850507188676253,2.783772040639222,6.098172575697209,1.0640812724764432
ct_w3_i1,3,calibration,problem_tree,19,200,1,6.0,0.07817719848032212,0.07817719848032212,0.9259398585611737,0.9259398585611737,0.0,0,1,0.025371771811009202,362858938438.90967,29,14,7,1.0,1.0,1.0,0.8908180845551147,3.3421148287118143,8.71205809284037,0.9325661621552664
ct_w3_i1,3,calibration,problem_tree,42,200,1,7.0,0.057779492688307954,0.057779492688307954,0.9430622305245068,0.9430622305245068,0.0,0,1,0.026212550264929097,40199755493.757095,26,16,8,1.0,1.0,1.0,0.9390675408894873,3.6048060050151074,10.154132106868543,0.9787965794372013
ct_w3_i1,3,calibration,problem_tree,50,200,1,5.0,0.0734711678174591,0.0734711678174591,0.9284635324609087,0.9284635324609087,0.0,0,1,0.03266309763012941,37970925608.324936,30,12,6,1.0,1.0,1.0,0.8777671356585884,3.0913334054072186,8.49217474100084,1.0723456396744937
ct_w3_i1,3,calibration,problem_tree,101,200,1,6.0,0.04396480405912939,0.04396480405912939,0.956919461986566,0.956919461986566,0.0,0,1,0.013963972908328695,187389544086.45224,30,14,7,1.0,1.0,1.0,0.9312972595214702,3.427960384732554,9.544718419249032,1.0496576866116425
