instance_id,instance_width,split,graph,sample_budget,seed,method,parameter_dimension,success,first_success_step,minimum_gap,initial_gradient_rms,sample_batches,total_samples,first_direction_cosine_exact_ng,first_direction_cosine_projected_target,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_trap_candidate
ct_w3_i1,3,calibration,problem_tree,256,0,independent_full_fisher,31,1,7.0,0.09432633664737722,0.5207616003950425,7,1792,0.3780638020106793,0.05462339349188497,25,0.09432633664737722,0.9200942784008409,0.9200942784008409,0.0,0,1,0.030692516749210513,0.05893774949214304,,-1,0
ct_w3_i1,3,calibration,problem_tree,256,19,independent_full_fisher,31,1,16.0,0.049674794640823805,0.3882653006843401,16,4096,0.38431997330526835,0.32081896973261204,25,0.049674794640823805,0.9519413270355281,0.9519413270355281,0.0,0,1,0.01609235026960829,0.041446789711170655,,-1,0
ct_w3_i1,3,calibration,problem_tree,256,42,independent_full_fisher,31,1,13.0,0.03509672155947108,0.45951311758829305,13,3328,0.5228968458543598,0.4864346428753702,23,0.03509672155947108,0.9652053450159208,0.9652053450159208,0.0,0,1,0.014453855157386031,0.03145471718684679,,-1,0
ct_w3_i1,3,calibration,problem_tree,256,50,independent_full_fisher,31,1,8.0,0.06596459271265687,0.4679813502560596,8,2048,0.5195086349217634,0.37575566489487905,24,0.06596459271265687,0.9576106623204965,0.9576106623204965,0.0,0,1,0.019701574567165522,0.0420990591962386,,-1,0
ct_w3_i1,3,calibration,problem_tree,256,101,independent_full_fisher,31,1,15.0,0.03237941317424031,0.37861039352133397,15,3840,0.4138358103582549,0.2888506404535533,24,0.03237941317424031,0.9679313230564902,0.9679313230564902,0.0,0,1,0.011891372890477443,0.03140794097034578,,-1,0
ct_w3_i1,3,calibration,width3,64,0,independent_full_fisher,49,0,,1.0003342408886873,0.23023362686247503,199,12736,0.19090251556160723,0.1909025155616466,31,1.0003342408886873,7.905311889671087e-11,0.774727089260172,1.0,9,1,0.00016853110031802825,0.0007320003711651407,,-1,0
ct_w3_i1,3,calibration,width3,64,19,independent_full_fisher,49,0,,1.000044855782658,0.17665423789305154,199,12736,0.23301528949211922,0.23301528949210026,29,1.000044855782658,2.9722047608668713e-31,0.8324429409348446,1.0,9,1,1.5235533919907265e-05,8.624493870976946e-05,,-1,0
ct_w3_i1,3,calibration,width3,64,42,independent_full_fisher,49,0,,2.000130367681793,0.2592131428726767,199,12736,0.19666063361482655,0.19666063361478828,28,2.000130367681793,4.331030016886869e-30,0.582590817545129,2.0,8,1,2.4992519870331988e-05,9.641686989076823e-05,,-1,0
ct_w3_i1,3,calibration,width3,64,50,independent_full_fisher,49,0,,1.000006681858082,0.30856116073520456,199,12736,0.17748400280081086,0.17748400280074642,23,1.000006681858082,8.55750306613351e-46,0.6990939944381843,1.0,9,1,2.4114739230014053e-06,7.815221842099694e-06,,-1,0
ct_w3_i1,3,calibration,width3,64,101,independent_full_fisher,49,0,,1.0000933313770943,0.21459174296328412,199,12736,0.2609843637094393,0.26098436370915695,29,1.0000933313770943,2.4012383694493126e-33,0.9998896632784514,1.0,11,1,3.116454152758111e-05,0.00014522712336100113,831501346343.51,41,1
