instance_id,instance_width,graph,seed,method,parameter_dimension,exact_ng_norm,exact_ng_target_cosine,exact_alignment_residual,exact_explained_variance,sample_rank,sample_alignment_residual,direction_cosine_exact_ng,direction_relative_error_exact_ng,direction_cosine_target
ct_w3_i2,3,chain,0,sampled_diagonal_fisher,31,1.8524409638593977,-0.4090235316156073,2.0953891644607308,0.6275948344486729,26,2.1905022080052805,0.7491720190762282,0.7966526758274081,-0.4090329453966364
ct_w3_i2,3,chain,0,sampled_two_block_fisher,31,1.8524409638593977,-0.4090235316156073,2.0953891644607308,0.6275948344486729,26,2.1905022080052805,0.7613558241538607,0.8260168163151439,-0.5533665440080822
ct_w3_i2,3,chain,0,sampled_star_fisher,31,1.8524409638593977,-0.4090235316156073,2.0953891644607308,0.6275948344486729,26,2.1905022080052805,0.5326723461535462,0.9240208682100135,0.014210619295103609
ct_w3_i2,3,chain,0,sampled_full_fisher,31,1.8524409638593977,-0.4090235316156073,2.0953891644607308,0.6275948344486729,26,2.1905022080052805,0.8505577028719231,0.5259745854563118,-0.38410815621071825
ct_w3_i2,3,chain,0,protected_ray_star,31,1.8524409638593977,-0.4090235316156073,2.0953891644607308,0.6275948344486729,26,2.1905022080052805,0.4357215529063438,1.1342601008801099,-0.9770369748031055
ct_w3_i2,3,chain,19,sampled_diagonal_fisher,31,1.8076178208029594,-0.3430865876557249,2.2463155723502157,0.5765242207302832,29,2.471911494750933,0.7338126519853323,0.887407569259521,-0.5248222837867316
ct_w3_i2,3,chain,19,sampled_two_block_fisher,31,1.8076178208029594,-0.3430865876557249,2.2463155723502157,0.5765242207302832,29,2.471911494750933,0.6200438495348001,1.0413321423018822,-0.5734759633008586
ct_w3_i2,3,chain,19,sampled_star_fisher,31,1.8076178208029594,-0.3430865876557249,2.2463155723502157,0.5765242207302832,29,2.471911494750933,0.6174722331055297,0.9975170381100563,0.08937030821747301
ct_w3_i2,3,chain,19,sampled_full_fisher,31,1.8076178208029594,-0.3430865876557249,2.2463155723502157,0.5765242207302832,29,2.471911494750933,0.4660437653230787,1.219113145274028,-0.2567926452598028
ct_w3_i2,3,chain,19,protected_ray_star,31,1.8076178208029594,-0.3430865876557249,2.2463155723502157,0.5765242207302832,29,2.471911494750933,0.43785439712281565,1.070490936913252,-0.9637711231559815
ct_w3_i2,3,chain,42,sampled_diagonal_fisher,31,1.8109775999361761,-0.3324446554317863,2.327799279075689,0.5669968629832649,29,1.961002311464217,0.67704019443666,0.9657159252043391,-0.47981748527499546
ct_w3_i2,3,chain,42,sampled_two_block_fisher,31,1.8109775999361761,-0.3324446554317863,2.327799279075689,0.5669968629832649,29,1.961002311464217,0.6860705404987606,0.9534601296840116,-0.669928574595747
ct_w3_i2,3,chain,42,sampled_star_fisher,31,1.8109775999361761,-0.3324446554317863,2.327799279075689,0.5669968629832649,29,1.961002311464217,0.6391129696884863,0.9088999857076264,0.09089666327111563
ct_w3_i2,3,chain,42,sampled_full_fisher,31,1.8109775999361761,-0.3324446554317863,2.327799279075689,0.5669968629832649,29,1.961002311464217,0.7774559900491463,0.7044206420146533,-0.6263496483353901
ct_w3_i2,3,chain,42,protected_ray_star,31,1.8109775999361761,-0.3324446554317863,2.327799279075689,0.5669968629832649,29,1.961002311464217,0.41721932022504654,1.285716235088743,-0.981640001174072
ct_w3_i2,3,chain,50,sampled_diagonal_fisher,31,1.614709330353141,-0.1467735699851828,2.200513831370248,0.5876405117592329,27,2.2099635675248512,0.6774898567913517,1.0743920605979285,-0.4394111737894964
ct_w3_i2,3,chain,50,sampled_two_block_fisher,31,1.614709330353141,-0.1467735699851828,2.200513831370248,0.5876405117592329,27,2.2099635675248512,0.6668324405762268,1.0887843749649795,-0.5731150142896052
ct_w3_i2,3,chain,50,sampled_star_fisher,31,1.614709330353141,-0.1467735699851828,2.200513831370248,0.5876405117592329,27,2.2099635675248512,0.658907674157474,1.0993642443764466,-0.0010799655914993421
ct_w3_i2,3,chain,50,sampled_full_fisher,31,1.614709330353141,-0.1467735699851828,2.200513831370248,0.5876405117592329,27,2.2099635675248512,0.7561327663599899,0.9005707641742329,-0.3802034249983824
ct_w3_i2,3,chain,50,protected_ray_star,31,1.614709330353141,-0.1467735699851828,2.200513831370248,0.5876405117592329,27,2.2099635675248512,0.26517272546339804,1.5578630632703703,-0.9810823581125632
ct_w3_i2,3,chain,101,sampled_diagonal_fisher,31,1.8163267299348504,-0.4587279079316239,1.8846966298843237,0.745591109181447,28,1.8538757177554988,0.7653494840875663,0.8357551786932844,-0.5286704024561799
ct_w3_i2,3,chain,101,sampled_two_block_fisher,31,1.8163267299348504,-0.4587279079316239,1.8846966298843237,0.745591109181447,28,1.8538757177554988,0.7318465686241754,0.8862807718829089,-0.6976732175873569
ct_w3_i2,3,chain,101,sampled_star_fisher,31,1.8163267299348504,-0.4587279079316239,1.8846966298843237,0.745591109181447,28,1.8538757177554988,0.5800331336292727,1.0463643724186917,0.10326173599331018
ct_w3_i2,3,chain,101,sampled_full_fisher,31,1.8163267299348504,-0.4587279079316239,1.8846966298843237,0.745591109181447,28,1.8538757177554988,0.776916834361616,0.7579538019879203,-0.6713163582026247
ct_w3_i2,3,chain,101,protected_ray_star,31,1.8163267299348504,-0.4587279079316239,1.8846966298843237,0.745591109181447,28,1.8538757177554988,0.4954853584961122,1.1992867351443,-0.9819217697476978
ct_w3_i2,3,problem_tree,0,sampled_diagonal_fisher,31,2.6683234098493562,0.8014295655571183,0.7139698465853576,0.8684276761011452,28,0.9397494307613801,0.5199348371375613,0.9798624014242394,0.2914084664210829
ct_w3_i2,3,problem_tree,0,sampled_two_block_fisher,31,2.6683234098493562,0.8014295655571183,0.7139698465853576,0.8684276761011452,28,0.9397494307613801,0.07526772454790501,1.359950201626585,-0.3780981475322629
ct_w3_i2,3,problem_tree,0,sampled_star_fisher,31,2.6683234098493562,0.8014295655571183,0.7139698465853576,0.8684276761011452,28,0.9397494307613801,0.6867839013410442,0.7621375163179788,0.584379718433418
ct_w3_i2,3,problem_tree,0,sampled_full_fisher,31,2.6683234098493562,0.8014295655571183,0.7139698465853576,0.8684276761011452,28,0.9397494307613801,0.5104668580155871,0.9031164475917427,0.06020437980358111
ct_w3_i2,3,problem_tree,0,protected_ray_star,31,2.6683234098493562,0.8014295655571183,0.7139698465853576,0.8684276761011452,28,0.9397494307613801,0.8481999205666396,0.5396436745594776,0.9764903886185443
ct_w3_i2,3,problem_tree,19,sampled_diagonal_fisher,31,2.7186129754392234,0.8020604035190213,0.8743820520241874,0.7869387033605396,29,0.7560351306160839,0.4246043287614305,1.0727494313571735,0.11270867581420162
ct_w3_i2,3,problem_tree,19,sampled_two_block_fisher,31,2.7186129754392234,0.8020604035190213,0.8743820520241874,0.7869387033605396,29,0.7560351306160839,0.183612486194302,1.2486181112140629,-0.21361169163900032
ct_w3_i2,3,problem_tree,19,sampled_star_fisher,31,2.7186129754392234,0.8020604035190213,0.8743820520241874,0.7869387033605396,29,0.7560351306160839,0.737007059633022,0.6973924444181734,0.6076098137094771
ct_w3_i2,3,problem_tree,19,sampled_full_fisher,31,2.7186129754392234,0.8020604035190213,0.8743820520241874,0.7869387033605396,29,0.7560351306160839,0.7045415576142942,0.7097853257452683,0.38856761546521473
ct_w3_i2,3,problem_tree,19,protected_ray_star,31,2.7186129754392234,0.8020604035190213,0.8743820520241874,0.7869387033605396,29,0.7560351306160839,0.8376898117031828,0.5563033106118749,0.9744031652307822
ct_w3_i2,3,problem_tree,42,sampled_diagonal_fisher,31,2.783215078137064,0.8792712166011483,0.9008720087141608,0.7694187777306155,30,0.7875600952684552,0.4549299471081719,1.0440977472361752,0.3313463748413869
ct_w3_i2,3,problem_tree,42,sampled_two_block_fisher,31,2.783215078137064,0.8792712166011483,0.9008720087141608,0.7694187777306155,30,0.7875600952684552,0.221453121060763,1.2019903651993054,0.017524619839126215
ct_w3_i2,3,problem_tree,42,sampled_star_fisher,31,2.783215078137064,0.8792712166011483,0.9008720087141608,0.7694187777306155,30,0.7875600952684552,0.6903490783609199,0.7869573325652159,0.6677061122671046
ct_w3_i2,3,problem_tree,42,sampled_full_fisher,31,2.783215078137064,0.8792712166011483,0.9008720087141608,0.7694187777306155,30,0.7875600952684552,0.7685796614070842,0.6421878365325309,0.6483440671339334
ct_w3_i2,3,problem_tree,42,protected_ray_star,31,2.783215078137064,0.8792712166011483,0.9008720087141608,0.7694187777306155,30,0.7875600952684552,0.8777803749710497,0.49988059594004,0.9798778180482396
ct_w3_i2,3,problem_tree,50,sampled_diagonal_fisher,31,2.5805710456109607,0.8219413688286477,0.6735646224823512,0.8908171170533857,28,0.7361526256799364,0.5415163475479027,0.9575840980844423,0.4033529974279934
ct_w3_i2,3,problem_tree,50,sampled_two_block_fisher,31,2.5805710456109607,0.8219413688286477,0.6735646224823512,0.8908171170533857,28,0.7361526256799364,0.28341932575017853,1.1127831280699807,-0.012770241127951295
ct_w3_i2,3,problem_tree,50,sampled_star_fisher,31,2.5805710456109607,0.8219413688286477,0.6735646224823512,0.8908171170533857,28,0.7361526256799364,0.7596395683460688,0.660794039392521,0.6528763662367607
ct_w3_i2,3,problem_tree,50,sampled_full_fisher,31,2.5805710456109607,0.8219413688286477,0.6735646224823512,0.8908171170533857,28,0.7361526256799364,0.759328665092815,0.6602220855528882,0.46573191433774386
ct_w3_i2,3,problem_tree,50,protected_ray_star,31,2.5805710456109607,0.8219413688286477,0.6735646224823512,0.8908171170533857,28,0.7361526256799364,0.8532981612638373,0.5474875197960906,0.9801881240869804
ct_w3_i2,3,problem_tree,101,sampled_diagonal_fisher,31,2.6765911697088023,0.8535954804596771,1.162745615601795,0.789641412346025,29,1.3279145585913814,0.5050458285074653,0.9426307122061607,0.2479526763411668
ct_w3_i2,3,problem_tree,101,sampled_two_block_fisher,31,2.6765911697088023,0.8535954804596771,1.162745615601795,0.789641412346025,29,1.3279145585913814,0.18534841231857022,1.1953750977748754,-0.2102259974291821
ct_w3_i2,3,problem_tree,101,sampled_star_fisher,31,2.6765911697088023,0.8535954804596771,1.162745615601795,0.789641412346025,29,1.3279145585913814,0.7775075233062657,0.6296862804276314,0.6451760892716387
ct_w3_i2,3,problem_tree,101,sampled_full_fisher,31,2.6765911697088023,0.8535954804596771,1.162745615601795,0.789641412346025,29,1.3279145585913814,0.7750193095986613,0.6423830642934073,0.4602688536518668
ct_w3_i2,3,problem_tree,101,protected_ray_star,31,2.6765911697088023,0.8535954804596771,1.162745615601795,0.789641412346025,29,1.3279145585913814,0.895609262277302,0.46844968897717354,0.9599631181442945
ct_w3_i2,3,width2,0,sampled_diagonal_fisher,43,4.332886834096269,0.964892562346975,0.4746484735889703,0.8747658526538739,41,0.44593198599142597,0.3788513798483525,0.980817978500862,0.30811520632023104
