graph,method,n,mean_cosine_exact_natural,median_cosine_exact_natural,median_relative_error,mean_cosine_projected_target,mean_sample_rank,mean_partial_alignment_residual
chain,protected_ray_star,80,0.7744672790053473,0.8183740745489446,0.5957115836779128,-0.9801523063588788,26.275,2.1015064380049298
chain,sampled_adam,80,0.6393273043191088,0.6463752219635234,0.9735662199737376,-0.5304124483729451,26.275,2.1015064380049298
chain,sampled_diagonal_fisher,80,0.7617190220216548,0.7658687856592978,0.6871792577845635,-0.6124973134468098,26.275,2.1015064380049298
chain,sampled_full_fisher,80,0.7729603224357481,0.8094008617858486,0.5972854235867094,-0.5943639701600993,26.275,2.1015064380049298
chain,sampled_star_fisher,80,0.4699042906097649,0.4879494176221938,1.0174079421086129,-0.15024169542041457,26.275,2.1015064380049298
chain,sampled_two_block_fisher,80,0.799877769082164,0.8170755479454241,0.6136869710153591,-0.6884585855268714,26.275,2.1015064380049298
problem_tree,protected_ray_star,80,0.8391393415392259,0.8548376225865599,0.5460228025560705,0.9328307798551725,28.1875,1.07422889813075
problem_tree,sampled_adam,80,0.43806658290365136,0.4528352166127999,0.9828742476213246,0.20900287407934542,28.1875,1.07422889813075
problem_tree,sampled_diagonal_fisher,80,0.4827377575453773,0.481769596004829,0.9986964254143542,0.21226272669385882,28.1875,1.07422889813075
problem_tree,sampled_full_fisher,80,0.6473197926727244,0.6598933752133465,0.7588551379392325,0.31540655327392436,28.1875,1.07422889813075
problem_tree,sampled_star_fisher,80,0.7055042922558525,0.7082049756580228,0.7488350238478398,0.5026237893556489,28.1875,1.07422889813075
problem_tree,sampled_two_block_fisher,80,0.23333924853046684,0.2341994500793967,1.1716048433035944,-0.14596374687753544,28.1875,1.07422889813075
width2,protected_ray_star,80,0.9608133761228965,0.9659887340255734,0.44241581996398704,0.9783383277327473,40.6625,0.7487708449726991
width2,sampled_adam,80,0.28273294027015944,0.28551780850922304,0.9925408583667348,0.2304520498517709,40.6625,0.7487708449726991
width2,sampled_diagonal_fisher,80,0.33844791973657135,0.34392955116836815,0.956488479630943,0.2763993894188851,40.6625,0.7487708449726991
width2,sampled_full_fisher,80,0.7624623182078045,0.7735745274229755,0.6922402055603334,0.6809244342617212,40.6625,0.7487708449726991
width2,sampled_star_fisher,80,0.6296813087964515,0.6356578621980955,0.7964722409495573,0.572281423633189,40.6625,0.7487708449726991
width2,sampled_two_block_fisher,80,0.36625274960935617,0.38189187589827656,0.9260495579222328,0.269922591606114,40.6625,0.7487708449726991
width3,protected_ray_star,80,0.9743936108519696,0.9767246099942315,0.4969203065278265,0.9789613105448,45.5875,0.38603808757877467
width3,sampled_adam,80,0.24158692917393618,0.23430142307567364,0.9944886299619125,0.2318728909557406,45.5875,0.38603808757877467
width3,sampled_diagonal_fisher,80,0.31967131156867695,0.32156005903529294,0.9536220960781474,0.3055827637450771,45.5875,0.38603808757877467
width3,sampled_full_fisher,80,0.7998055077528814,0.8010101610158742,0.6765325534219048,0.7823205358460218,45.5875,0.38603808757877467
width3,sampled_star_fisher,80,0.5931545464255248,0.6094921509315145,0.827267079071505,0.5798542626960275,45.5875,0.38603808757877467
width3,sampled_two_block_fisher,80,0.4428574758806307,0.4529438113402944,0.9043317239383486,0.4201530867627709,45.5875,0.38603808757877467
