instance_id,instance_width,split,graph,samples_per_batch,total_samples_per_update,seed,method,success,first_success_step,minimum_gap,sample_batches,total_samples,first_direction_cosine_exact_ng,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_gradient_ratio,final_trap_candidate
ct_w3_i1,3,calibration,problem_tree,256,512,0,independent_equal_full_fisher,1,9.0,0.029077025420633618,9,4608,0.4523669393479857,27,0.029077025420633618,0.9717492268200837,0.9717492268200837,0.015888484868322256,0
ct_w3_i1,3,calibration,problem_tree,256,512,19,independent_equal_full_fisher,1,10.0,0.058234984763098296,10,5120,0.6252537325254683,29,0.058234984763098296,0.9507822234350066,0.9507822234350066,0.047097639340599164,0
ct_w3_i1,3,calibration,problem_tree,256,512,42,independent_equal_full_fisher,1,15.0,0.08418163173256232,15,7680,0.6455517001486313,28,0.08418163173256232,0.9182161897266901,0.9182161897266901,0.08069476518407927,0
ct_w3_i1,3,calibration,problem_tree,256,512,50,independent_equal_full_fisher,1,13.0,0.048893710190998974,13,6656,0.46912166136642464,25,0.048893710190998974,0.9516973649551485,0.9516973649551485,0.03819060293283357,0
ct_w3_i1,3,calibration,problem_tree,256,512,101,independent_equal_full_fisher,1,11.0,0.09715784669978156,11,5632,0.4309718906561567,25,0.09715784669978156,0.9079999510970302,0.9079999510970302,0.07780143316998447,0
ct_w3_i1,3,calibration,width3,64,128,0,independent_equal_full_fisher,0,,1.0000107714552673,199,25472,0.27070631822054064,41,1.0000107714552673,9.239676598540884e-23,0.9230260669424062,1.994044766975202e-05,1
ct_w3_i1,3,calibration,width3,64,128,19,independent_equal_full_fisher,0,,1.0000307268829154,199,25472,0.5075199524714411,37,1.0000307268829154,7.7586245461801226e-31,0.9265349016681971,5.5062068505611335e-05,1
ct_w3_i1,3,calibration,width3,64,128,42,independent_equal_full_fisher,1,16.0,0.07193614428391193,16,2048,0.3546739934405411,40,0.07193614428391193,0.9285196562230238,0.9285196562230238,0.1375946129574696,0
ct_w3_i1,3,calibration,width3,64,128,50,independent_equal_full_fisher,1,13.0,0.08400001295592929,13,1664,0.3883112396073907,34,0.08400001295592929,0.921404926857872,0.921404926857872,0.303108956980068,0
ct_w3_i1,3,calibration,width3,64,128,101,independent_equal_full_fisher,0,,1.0000155536849888,199,25472,0.3019274517199798,38,1.0000155536849888,1.4810484352385192e-13,0.9999850676573553,2.290387296464682e-05,1
ct_w3_i1,3,calibration,width3,256,512,0,independent_equal_full_fisher,1,11.0,0.07493771776413816,11,5632,0.6668139004387239,48,0.07493771776413816,0.929351602198282,0.929351602198282,0.3072733407687487,0
ct_w3_i1,3,calibration,width3,256,512,19,independent_equal_full_fisher,1,15.0,0.06914422400322451,15,7680,0.7450914814827525,48,0.06914422400322451,0.9516344565741747,0.9516344565741747,0.2890058773298319,0
ct_w3_i1,3,calibration,width3,256,512,42,independent_equal_full_fisher,1,12.0,0.06976084096447721,12,6144,0.5237115686864315,49,0.06976084096447721,0.9457957156985982,0.9457957156985982,0.09007093123049681,0
ct_w3_i1,3,calibration,width3,256,512,50,independent_equal_full_fisher,1,18.0,0.046737573229913565,18,9216,0.7179585155863214,48,0.046737573229913565,0.9540890791606861,0.9540890791606861,0.1818981580808968,0
ct_w3_i1,3,calibration,width3,256,512,101,independent_equal_full_fisher,1,13.0,0.05199022506337592,13,6656,0.6605641213767921,46,0.05199022506337592,0.9498745728537658,0.9498745728537658,0.10615434094631321,0
ct_w3_i2,3,evaluation,problem_tree,256,512,0,independent_equal_full_fisher,1,9.0,0.04060033612227798,9,4608,0.34909714716803203,28,0.04060033612227798,0.9647536702278007,0.9647536702278007,0.03241178789066718,0
ct_w3_i2,3,evaluation,problem_tree,256,512,19,independent_equal_full_fisher,1,10.0,0.09720142888582473,10,5120,0.6714213213402344,30,0.09720142888582473,0.907815372518115,0.907815372518115,0.10669435273831375,0
ct_w3_i2,3,evaluation,problem_tree,256,512,42,independent_equal_full_fisher,1,14.0,0.08643921662265797,14,7168,0.4712529083222355,30,0.08643921662265797,0.9264432738625219,0.9264432738625219,0.10572465527162835,0
ct_w3_i2,3,evaluation,problem_tree,256,512,50,independent_equal_full_fisher,1,14.0,0.03744044278902159,14,7168,0.551902475878308,28,0.03744044278902159,0.964213701098204,0.964213701098204,0.05383865136900323,0
ct_w3_i2,3,evaluation,problem_tree,256,512,101,independent_equal_full_fisher,1,11.0,0.039184111391113774,11,5632,0.6577882697304301,28,0.039184111391113774,0.9653248343205575,0.9653248343205575,0.04489955511967102,0
ct_w3_i2,3,evaluation,width3,64,128,0,independent_equal_full_fisher,1,13.0,0.08148689827085853,13,1664,0.4180653782816762,38,0.08148689827085853,0.9273237449489559,0.9273237449489559,0.2695688299368443,0
ct_w3_i2,3,evaluation,width3,64,128,19,independent_equal_full_fisher,1,19.0,0.07957759283730681,19,2432,0.4956920971534247,37,0.07957759283730681,0.9240365716541419,0.9240365716541419,0.3200598539856796,0
ct_w3_i2,3,evaluation,width3,64,128,42,independent_equal_full_fisher,1,18.0,0.09445936703490432,18,2304,0.5447914491236647,44,0.09445936703490432,0.9160139752685008,0.9160139752685008,0.20367255948045077,0
ct_w3_i2,3,evaluation,width3,64,128,50,independent_equal_full_fisher,1,18.0,0.020377940891945556,18,2304,0.2938783689235954,37,0.020377940891945556,0.9796877767612363,0.9796877767612363,0.060058901590607006,0
ct_w3_i2,3,evaluation,width3,64,128,101,independent_equal_full_fisher,1,15.0,0.0940217898348994,15,1920,0.3414753634931782,38,0.0940217898348994,0.918263747354677,0.918263747354677,0.42181260010320437,0
ct_w3_i2,3,evaluation,width3,256,512,0,independent_equal_full_fisher,1,12.0,0.039535386383064974,12,6144,0.7773176319030697,47,0.039535386383064974,0.9639689153117036,0.9639689153117036,0.15271431304688407,0
ct_w3_i2,3,evaluation,width3,256,512,19,independent_equal_full_fisher,0,,1.0000198625395509,199,101888,0.7013686312785182,45,1.0000198625395509,9.134404900081394e-17,0.4713669041293763,7.109319614412003e-05,0
ct_w3_i2,3,evaluation,width3,256,512,42,independent_equal_full_fisher,1,18.0,0.08887811649147537,18,9216,0.7848778240368206,46,0.08887811649147537,0.9352375474863263,0.9352375474863263,0.24975222219371643,0
ct_w3_i2,3,evaluation,width3,256,512,50,independent_equal_full_fisher,1,18.0,0.06323804396808264,18,9216,0.5609038573088843,47,0.06323804396808264,0.943400604182115,0.943400604182115,0.2468483344831347,0
ct_w3_i2,3,evaluation,width3,256,512,101,independent_equal_full_fisher,1,19.0,0.05752425651507487,19,9728,0.46403439797065604,44,0.05752425651507487,0.948331167069961,0.948331167069961,0.18978806161239917,0
ct_w3_i3,3,evaluation,problem_tree,256,512,0,independent_equal_full_fisher,0,,1.00003898153561,199,101888,0.5448236129023111,28,1.00003898153561,4.591067848773522e-22,0.7210264487702045,7.171764973440891e-05,0
ct_w3_i3,3,evaluation,problem_tree,256,512,19,independent_equal_full_fisher,0,,1.0000317761299566,199,101888,0.3466632468994966,30,1.0000317761299566,2.9572662896456908e-18,0.4372550365599336,4.029156581279673e-05,0
ct_w3_i3,3,evaluation,problem_tree,256,512,42,independent_equal_full_fisher,0,,1.0000900641728716,199,101888,0.6370972434421852,27,1.0000900641728716,7.443809654453201e-25,0.4584449320898431,0.00010372912994994182,0
ct_w3_i3,3,evaluation,problem_tree,256,512,50,independent_equal_full_fisher,0,,1.0000645033056639,199,101888,0.46584910765385557,28,1.0000645033056639,3.1977941525967416e-19,0.4920623899038926,7.048439082818653e-05,0
ct_w3_i3,3,evaluation,problem_tree,256,512,101,independent_equal_full_fisher,0,,1.0000875800362277,199,101888,0.38912717542108904,26,1.0000875800362277,3.6935437821831355e-19,0.3332872970518993,0.00020118763373661188,0
ct_w3_i3,3,evaluation,width3,64,128,0,independent_equal_full_fisher,1,14.0,0.08664479155654625,14,1792,0.28535705234640146,36,0.08664479155654625,0.9242750912983587,0.9242750912983587,0.11208150398245148,0
ct_w3_i3,3,evaluation,width3,64,128,19,independent_equal_full_fisher,1,22.0,0.07837062263202554,22,2816,0.42805490269638924,38,0.07837062263202554,0.9216565335029708,0.9216565335029708,0.19950920723423266,0
ct_w3_i3,3,evaluation,width3,64,128,42,independent_equal_full_fisher,0,,1.0007369806460709,199,25472,0.17714220119788188,35,1.0008350788852045,1.9112842821354319e-59,0.20016585172030005,0.0016884254104986341,0
ct_w3_i3,3,evaluation,width3,64,128,50,independent_equal_full_fisher,1,22.0,0.07532763690229949,22,2816,0.49152399509952355,38,0.07532763690229949,0.926830776473464,0.926830776473464,0.2164025251051319,0
ct_w3_i3,3,evaluation,width3,64,128,101,independent_equal_full_fisher,0,,1.0000203830477226,199,25472,0.4156476232234214,41,1.0000203830477226,1.1391832409747068e-36,0.9392604084265789,5.571393923877544e-05,1
ct_w3_i3,3,evaluation,width3,256,512,0,independent_equal_full_fisher,1,15.0,0.0914762886857563,15,7680,0.8091380564858581,47,0.0914762886857563,0.909229002853476,0.909229002853476,0.2928829125615087,0
