instance_id,instance_width,split,graph,seed,method,parameter_dimension,gap,direction_cosine_exact_natural,direction_cosine_projected_target,direction_relative_error_exact_natural,direction_norm,exact_natural_norm,fisher_rank,fisher_condition
ct_w3_i1,3,calibration,chain,0,exact_natural,31,9.747976691316858,1.0,-0.8557420017520042,0.0,3.102753315539662,3.102753315539662,31,13968.34749444779
ct_w3_i1,3,calibration,chain,0,exact_regularized_full,31,9.747976691316858,0.9529354116108432,-0.7910530012630664,0.3226781281547688,2.6139138719559054,3.102753315539662,31,13968.34749444779
ct_w3_i1,3,calibration,chain,0,exact_diagonal,31,9.747976691316858,0.8363204647275726,-0.7298376582318128,0.5549275402542078,2.8613807855648994,3.102753315539662,31,13968.34749444779
ct_w3_i1,3,calibration,chain,0,exact_two_block,31,9.747976691316858,0.8820025716558789,-0.8132124924255957,0.4729565081279854,2.8613807855648994,3.102753315539662,31,13968.34749444779
ct_w3_i1,3,calibration,chain,0,exact_star,31,9.747976691316858,0.5770862811006405,-0.29577883984218756,0.866480148563695,2.6888365399309513,3.102753315539662,31,13968.34749444779
ct_w3_i1,3,calibration,chain,0,projected_target,31,9.747976691316858,-0.8557420017520042,1.0,2.7492813454562772,5.722761571129799,3.102753315539662,31,13968.34749444779
ct_w3_i1,3,calibration,chain,19,exact_natural,31,9.997657894342504,1.0,-0.8919174107373603,0.0,3.1673967813906265,3.1673967813906265,31,8201.65395868774
ct_w3_i1,3,calibration,chain,19,exact_regularized_full,31,9.997657894342504,0.9526063591757554,-0.8117470014012031,0.3277141243866193,2.631231050522921,3.1673967813906265,31,8201.65395868774
ct_w3_i1,3,calibration,chain,19,exact_diagonal,31,9.997657894342504,0.8405155879524673,-0.7294634794199882,0.5454229464655852,2.8613807855648985,3.1673967813906265,31,8201.65395868774
ct_w3_i1,3,calibration,chain,19,exact_two_block,31,9.997657894342504,0.8723577016469454,-0.8006308096189769,0.48985178745230895,2.8613807855648994,3.1673967813906265,31,8201.65395868774
ct_w3_i1,3,calibration,chain,19,exact_star,31,9.997657894342504,0.5141937292281012,-0.25239090080083615,0.9191044551806175,2.675086911527425,3.1673967813906265,31,8201.65395868774
ct_w3_i1,3,calibration,chain,19,projected_target,31,9.997657894342504,-0.8919174107373603,1.0,2.736312124032681,5.722761571129799,3.1673967813906265,31,8201.65395868774
ct_w3_i1,3,calibration,chain,42,exact_natural,31,9.975993077622542,1.0000000000000002,-0.8893684092999519,0.0,3.2760936830704828,3.2760936830704828,31,3469.959985818443
ct_w3_i1,3,calibration,chain,42,exact_regularized_full,31,9.975993077622542,0.9337427697864666,-0.8116311324428627,0.3796440853779279,2.6445648486347135,3.2760936830704828,31,3469.959985818443
ct_w3_i1,3,calibration,chain,42,exact_diagonal,31,9.975993077622542,0.8249443766412926,-0.7311180492074519,0.5672882185780735,2.8613807855648994,3.2760936830704828,31,3469.959985818443
ct_w3_i1,3,calibration,chain,42,exact_two_block,31,9.975993077622542,0.8779583839837822,-0.8158436618056283,0.4787585426200511,2.8613807855648994,3.2760936830704828,31,3469.959985818443
ct_w3_i1,3,calibration,chain,42,exact_star,31,9.975993077622542,0.4860685293183723,-0.24319899245716975,0.9389886760254402,2.7176016202928954,3.2760936830704828,31,3469.959985818443
ct_w3_i1,3,calibration,chain,42,projected_target,31,9.975993077622542,-0.8893684092999519,1.0,2.6755444817142893,5.722761571129799,3.2760936830704828,31,3469.959985818443
ct_w3_i1,3,calibration,chain,50,exact_natural,31,9.509534535557302,1.0,-0.8573754583383831,0.0,3.074675163148008,3.074675163148008,31,14238.580360872851
ct_w3_i1,3,calibration,chain,50,exact_regularized_full,31,9.509534535557302,0.947797249837069,-0.8115395436348087,0.35010951089496073,2.469707417415292,3.074675163148008,31,14238.580360872851
ct_w3_i1,3,calibration,chain,50,exact_diagonal,31,9.509534535557302,0.8227874706320548,-0.6983962470709089,0.5784898420780659,2.8613807855649,3.074675163148008,31,14238.580360872851
ct_w3_i1,3,calibration,chain,50,exact_two_block,31,9.509534535557302,0.830123947368638,-0.7987259675422722,0.5665645828644273,2.8613807855649,3.074675163148008,31,14238.580360872851
ct_w3_i1,3,calibration,chain,50,exact_star,31,9.509534535557302,0.5605496771970474,-0.33337895961415165,0.8693704354944166,2.5371121561632917,3.074675163148008,31,14238.580360872851
ct_w3_i1,3,calibration,chain,50,projected_target,31,9.509534535557302,-0.8573754583383831,1.0,2.7669245310075623,5.722761571129799,3.074675163148008,31,14238.580360872851
ct_w3_i1,3,calibration,chain,101,exact_natural,31,10.323180402626994,1.0,-0.9036191295299812,0.0,3.4173910949418778,3.4173910949418778,31,6894.750358772464
ct_w3_i1,3,calibration,chain,101,exact_regularized_full,31,10.323180402626994,0.944649041101124,-0.8182891000310063,0.3451985728019687,2.8613807855648994,3.4173910949418778,31,6894.750358772464
ct_w3_i1,3,calibration,chain,101,exact_diagonal,31,10.323180402626994,0.8394933305167489,-0.7474345898038136,0.5433744194527955,2.8613807855648994,3.4173910949418778,31,6894.750358772464
ct_w3_i1,3,calibration,chain,101,exact_two_block,31,10.323180402626994,0.8872347706331185,-0.8200859370422084,0.46401289404579654,2.8613807855648994,3.4173910949418778,31,6894.750358772464
ct_w3_i1,3,calibration,chain,101,exact_star,31,10.323180402626994,0.5575298707430507,-0.3330388235030504,0.876031758004063,2.861380785564899,3.4173910949418778,31,6894.750358772464
ct_w3_i1,3,calibration,chain,101,projected_target,31,10.323180402626994,-0.9036191295299812,1.0,2.6135577284820957,5.722761571129799,3.4173910949418778,31,6894.750358772464
ct_w3_i1,3,calibration,problem_tree,0,exact_natural,31,5.003096247447999,1.0,0.8505071886713502,0.0,3.066552860813817,3.066552860813817,31,3655.4425600176805
ct_w3_i1,3,calibration,problem_tree,0,exact_regularized_full,31,5.003096247447999,0.6825615930995461,0.31488779995905675,0.744674453978238,1.6547939388537471,3.066552860813817,31,3655.4425600176805
ct_w3_i1,3,calibration,problem_tree,0,exact_diagonal,31,5.003096247447999,0.35717180473573046,0.07444165614838452,1.1556238240443952,3.1819805153394634,3.066552860813817,31,3655.4425600176805
ct_w3_i1,3,calibration,problem_tree,0,exact_two_block,31,5.003096247447999,0.20176928378990555,-0.19075517451954382,1.1639235599540676,2.547080824242894,3.066552860813817,31,3655.4425600176805
ct_w3_i1,3,calibration,problem_tree,0,exact_star,31,5.003096247447999,0.562918975660112,0.38734103121329544,0.9531437899311764,3.1819805153394642,3.066552860813817,31,3655.4425600176805
ct_w3_i1,3,calibration,problem_tree,0,projected_target,31,5.003096247447999,0.8505071886713502,1.0,1.3329329026107568,6.363961030678928,3.066552860813817,31,3655.4425600176805
ct_w3_i1,3,calibration,problem_tree,19,exact_natural,31,5.579088914976157,1.0,0.8908180845550326,0.0,3.269373488907933,3.269373488907933,31,1868.1392310040533
ct_w3_i1,3,calibration,problem_tree,19,exact_regularized_full,31,5.579088914976157,0.7450806169204814,0.5132236353560271,0.7044582353131787,1.6946814901436051,3.269373488907933,31,1868.1392310040533
ct_w3_i1,3,calibration,problem_tree,19,exact_diagonal,31,5.579088914976157,0.411079356750765,0.1314772523843305,0.9906418261355003,2.6117027293878925,3.269373488907933,31,1868.1392310040533
ct_w3_i1,3,calibration,problem_tree,19,exact_two_block,31,5.579088914976157,0.06655252053154845,-0.26625193708341394,1.20084409347001,2.4020936476523866,3.269373488907933,31,1868.1392310040533
ct_w3_i1,3,calibration,problem_tree,19,exact_star,31,5.579088914976157,0.7642664792789191,0.6274996212868256,0.6459213255491429,2.617347227482859,3.269373488907933,31,1868.1392310040533
ct_w3_i1,3,calibration,problem_tree,19,projected_target,31,5.579088914976157,0.8908180845550326,1.0,1.1493426462929799,6.363961030678928,3.269373488907933,31,1868.1392310040533
ct_w3_i1,3,calibration,problem_tree,42,exact_natural,31,4.3290206716744635,1.0,0.9390675408893459,0.0,3.5687710633015097,3.5687710633015097,31,849.8352747566083
ct_w3_i1,3,calibration,problem_tree,42,exact_regularized_full,31,4.3290206716744635,0.7243909918571274,0.5683294279434391,0.7404808184213838,1.6205991990565058,3.5687710633015097,31,849.8352747566083
ct_w3_i1,3,calibration,problem_tree,42,exact_diagonal,31,4.3290206716744635,0.4622851301464964,0.3325161766741837,0.9852000664644153,3.181980515339464,3.5687710633015097,31,849.8352747566083
ct_w3_i1,3,calibration,problem_tree,42,exact_two_block,31,4.3290206716744635,-0.03524145413483564,-0.24745936924745543,1.2309249495310182,2.438830238391267,3.5687710633015097,31,849.8352747566083
ct_w3_i1,3,calibration,problem_tree,42,exact_star,31,4.3290206716744635,0.6378300891206058,0.5897211856227201,0.7943591207268467,2.970426593676945,3.5687710633015097,31,849.8352747566083
ct_w3_i1,3,calibration,problem_tree,42,projected_target,31,4.3290206716744635,0.9390675408893459,1.0,0.911467244921521,6.363961030678928,3.5687710633015097,31,849.8352747566083
ct_w3_i1,3,calibration,problem_tree,50,exact_natural,31,4.374780120164726,0.9999999999999999,0.8777671356553282,0.0,3.3929578305039976,3.3929578305039976,31,2933.075838870087
ct_w3_i1,3,calibration,problem_tree,50,exact_regularized_full,31,4.374780120164726,0.605377393181929,0.3074314599991725,0.8035788953697307,1.6789357407737522,3.3929578305039976,31,2933.075838870087
ct_w3_i1,3,calibration,problem_tree,50,exact_diagonal,31,4.374780120164726,0.4843744339572698,0.2750529561892723,0.9853899910738266,3.181980515339464,3.3929578305039976,31,2933.075838870087
ct_w3_i1,3,calibration,problem_tree,50,exact_two_block,31,4.374780120164726,0.2000313312612341,-0.13804059053806578,1.172240170955112,2.8622436585118614,3.3929578305039976,31,2933.075838870087
