instance_id,instance_width,split,graph,seed,sample_budget,method,parameter_dimension,sample_rank,sample_alignment_residual,direction_cosine_exact_natural,direction_cosine_projected_target,exact_natural_cosine_projected_target,direction_relative_error_exact_natural,exact_natural_norm,direction_norm,initial_gap
ct_w3_i1,3,calibration,chain,0,256,sampled_adam,31,25,2.0403168184177938,0.5901669712829022,-0.44580926650370184,-0.8557420017524692,0.980257132669112,3.1027533155401597,0.1058300475953395,9.747976691316858
ct_w3_i1,3,calibration,chain,0,256,sampled_diagonal_fisher,31,25,2.0403168184177938,0.7622990762954541,-0.5587139143864484,-0.8557420017524692,0.6666863266076952,3.1027533155401597,2.8613807855649003,9.747976691316858
ct_w3_i1,3,calibration,chain,0,256,sampled_two_block_fisher,31,25,2.0403168184177938,0.8271856839735606,-0.6353575012592894,-0.8557420017524692,0.5699060380440026,3.1027533155401597,2.8613807855649,9.747976691316858
ct_w3_i1,3,calibration,chain,0,256,sampled_star_fisher,31,25,2.0403168184177938,0.5626662214064797,-0.3256337670508067,-0.8557420017524692,0.8913903768833977,3.1027533155401597,2.7803400049741733,9.747976691316858
ct_w3_i1,3,calibration,chain,0,256,sampled_full_fisher,31,25,2.0403168184177938,0.8770754007195163,-0.6589618388778631,-0.8557420017524692,0.48246823885605045,3.1027533155401597,2.861380785564899,9.747976691316858
ct_w3_i1,3,calibration,chain,0,256,protected_ray_star,31,25,2.0403168184177938,0.8816410044700124,-0.9806981695552083,-0.8557420017524692,0.4755594379068997,3.1027533155401597,2.917697691699238,9.747976691316858
ct_w3_i1,3,calibration,chain,19,256,sampled_adam,31,24,1.9090500215648292,0.6910426411022996,-0.5806108814135805,-0.891917410737403,0.9760360709182347,3.167396781390059,0.11135527681039717,9.997657894342504
ct_w3_i1,3,calibration,chain,19,256,sampled_diagonal_fisher,31,24,1.9090500215648292,0.7727912034167694,-0.6940911156491573,-0.891917410737403,0.6479573012137279,3.167396781390059,2.8613807855648994,9.997657894342504
ct_w3_i1,3,calibration,chain,19,256,sampled_two_block_fisher,31,24,1.9090500215648292,0.8247743340145155,-0.8032178689455722,-0.891917410737403,0.5709001981320515,3.167396781390059,2.8613807855648985,9.997657894342504
ct_w3_i1,3,calibration,chain,19,256,sampled_star_fisher,31,24,1.9090500215648292,0.3523734769837375,-0.14072267215447676,-0.891917410737403,1.0860236380719703,3.167396781390059,2.8613807855649,9.997657894342504
ct_w3_i1,3,calibration,chain,19,256,sampled_full_fisher,31,24,1.9090500215648292,0.8414696659770516,-0.7324959981314799,-0.891917410737403,0.5411790443359575,3.167396781390059,2.5678505559733336,9.997657894342504
ct_w3_i1,3,calibration,chain,19,256,protected_ray_star,31,24,1.9090500215648292,0.906638483876866,-0.979669463253111,-0.891917410737403,0.4221927792850866,3.167396781390059,2.9207614332117067,9.997657894342504
ct_w3_i1,3,calibration,chain,42,256,sampled_adam,31,28,1.9676543297814701,0.6605296124624607,-0.580610934443619,-0.8893684093000148,0.977881480359701,3.2760936830708136,0.11135528029108606,9.975993077622542
ct_w3_i1,3,calibration,chain,42,256,sampled_diagonal_fisher,31,28,1.9676543297814701,0.7813223603072442,-0.6606034415254001,-0.8893684093000148,0.6308850460083086,3.2760936830708136,2.8613807855648994,9.975993077622542
ct_w3_i1,3,calibration,chain,42,256,sampled_two_block_fisher,31,28,1.9676543297814701,0.8051336208868912,-0.650673776751391,-0.8893684093000148,0.5970107550629169,3.2760936830708136,2.8613807855649,9.975993077622542
ct_w3_i1,3,calibration,chain,42,256,sampled_star_fisher,31,28,1.9676543297814701,0.391755372218433,-0.1531385569943736,-0.8893684093000148,1.0385187542236418,3.2760936830708136,2.861380785564899,9.975993077622542
ct_w3_i1,3,calibration,chain,42,256,sampled_full_fisher,31,28,1.9676543297814701,0.4302261377605005,-0.24083885787571704,-0.8893684093000148,1.0056438320688266,3.2760936830708136,2.8613807855648994,9.975993077622542
ct_w3_i1,3,calibration,chain,42,256,protected_ray_star,31,28,1.9676543297814701,0.9089733990825555,-0.9801017611909758,-0.8893684093000148,0.41723521689657955,3.2760936830708136,2.919473159693007,9.975993077622542
ct_w3_i1,3,calibration,chain,50,256,sampled_adam,31,25,1.9165853205946057,0.5430818311688183,-0.3668863252920347,-0.857375458338437,0.9811072948404703,3.074675163148319,0.10954450075896527,9.509534535557302
ct_w3_i1,3,calibration,chain,50,256,sampled_diagonal_fisher,31,25,1.9165853205946057,0.5948573310826499,-0.3440005986498645,-0.857375458338437,0.871141281266578,3.074675163148319,2.8613807855648994,9.509534535557302
ct_w3_i1,3,calibration,chain,50,256,sampled_two_block_fisher,31,25,1.9165853205946057,0.6153503913803918,-0.48751745211843645,-0.857375458338437,0.8489665917990857,3.074675163148319,2.8613807855648994,9.509534535557302
ct_w3_i1,3,calibration,chain,50,256,sampled_star_fisher,31,25,1.9165853205946057,0.30246951364892405,-0.04438542135511705,-0.857375458338437,1.084526082332924,3.074675163148319,2.520778560358373,9.509534535557302
ct_w3_i1,3,calibration,chain,50,256,sampled_full_fisher,31,25,1.9165853205946057,0.6028290983158106,-0.37530145812867344,-0.857375458338437,0.8009471285625794,3.074675163148319,2.0691527127645637,9.509534535557302
ct_w3_i1,3,calibration,chain,50,256,protected_ray_star,31,25,1.9165853205946057,0.8642675037607348,-0.9799205043511603,-0.857375458338437,0.5102353081235762,3.074675163148319,2.920013177456185,9.509534535557302
ct_w3_i1,3,calibration,chain,101,256,sampled_adam,31,23,1.9644078366264082,0.5617880122689952,-0.46232069432267947,-0.9036191295300229,0.9829364317831011,3.4173910949422335,0.10583004351830058,10.323180402626994
ct_w3_i1,3,calibration,chain,101,256,sampled_diagonal_fisher,31,23,1.9644078366264082,0.6346602309714539,-0.5115565396152583,-0.9036191295300229,0.7989175019502311,3.4173910949422335,2.8613807855649,10.323180402626994
