graph,n,cos_mean,cos_median,relerr_median,storage_median,maxblock
chain,80,0.9346427736264848,0.9393557312796739,0.35515046569396114,91.0,3
problem_tree,80,0.605163832731658,0.5978307035060781,0.8153876767047459,91.0,3
width2,80,0.7182113939984971,0.7198624861803058,0.7538429956360939,268.5,6
width3,80,0.7408579789561335,0.7392860392450372,0.7686307289596661,419.5,10
