instance_id,graph,method,initialization,seed,success,first_success_step,minimum_normalized_gap,final_step,final_gap,final_normalized_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_target_cosine,final_transverse_ratio,boundary_trap,mean_accepted_alpha
ising_confirmatory_02,chain,adam,random,0,0,,13.429929866476225,199,5.887320733992034,13.429929866476225,2.5315149189285745e-07,0.9852982407685036,5.803689533004693,0.020062824256607464,0.038225530837199956,398.53131930143735,31,0.4317596184664846,2.089099283047112,0,
ising_confirmatory_02,chain,adam,random,19,0,,18.769696030902143,199,8.228130877235344,18.769696030902143,3.668498426238973e-16,0.9718239654954919,8.156147741239273,0.020143201384327073,0.03317200987389171,940.2475281666295,31,0.2453496352942192,3.9512374127125627,0,
ising_confirmatory_02,chain,adam,random,42,0,,16.47575228095447,199,7.222527516983256,16.47575228095447,4.407311245482372e-20,0.9842327965963362,7.145753064703847,0.01600160676679024,0.037153825161871046,533.692555290983,31,-0.028251292559711722,35.38248207448457,0,
ising_confirmatory_02,chain,adam,random,50,0,,10.900018756640517,199,4.778275617585884,10.900018756640517,7.645379386114371e-16,0.9835237647783368,4.6911221046254745,0.01874144201752856,0.029172169579437357,303.23732794869,31,0.22504115710911762,4.3296491675173545,0,
ising_confirmatory_02,chain,adam,random,101,0,,10.909426540372971,199,4.782399737427138,10.909426540372971,1.54486767067054e-15,0.9841823542639616,4.6911221046254745,0.020036609594433895,0.030863962516280808,254.8075268111959,31,0.2193818322975698,4.447219117303082,0,
ising_confirmatory_02,chain,adam,target_biased,0,0,,0.21961726022791378,199,0.09627431137297293,0.21961726022791378,0.98398488087748,0.98398488087748,7.105427357601002e-15,0.020843573037278063,0.02635659006963224,3803.917329420104,31,0.5894534936817264,1.3704258653713601,0,
ising_confirmatory_02,chain,adam,target_biased,19,0,,0.231990201568895,199,0.10169827671169429,0.231990201568895,0.9781522157397734,0.9781522157397734,7.105427357601002e-15,0.02203428632113543,0.054407083407347075,6948.611725855717,31,0.5766898603345056,1.4166421439116714,0,
ising_confirmatory_02,chain,adam,target_biased,42,0,,13.748929752379704,199,6.02716172058636,13.748929752379704,2.0519048811557482e-08,0.9807669204038594,5.951688843287457,0.017276806242149584,0.030050410334483465,515.1006684181452,31,0.532958596534836,1.5876304952646811,0,
ising_confirmatory_02,chain,adam,target_biased,50,0,,0.22092113124141935,199,0.09684589342355565,0.22092113124141935,0.9843851095396708,0.9843851095396708,7.105427357601002e-15,0.021680165160659425,0.03974733134675273,1293.8850617349863,31,0.5835861385576995,1.391484800418464,0,
ising_confirmatory_02,chain,adam,target_biased,101,0,,0.18013751223126462,199,0.07896744966451053,0.18013751223126462,0.9858810600099637,0.9858810600099637,7.105427357601002e-15,0.017564060385700395,0.025824609942871782,1803.7361503242726,31,0.580708670933588,1.401927476627019,0,
ising_confirmatory_02,chain,exact_natural,target_biased,0,1,28.0,0.08213317974661029,28,0.036004981178489714,0.08213317974661029,0.9770052879003599,0.9770052879003599,7.105427357601002e-15,0.017610977507876383,0.02226898977783049,538249746664.0934,28,0.5065830962345195,1.7019737712194332,0,1.0
ising_confirmatory_02,chain,exact_natural,target_biased,19,1,42.0,0.07927460328314705,42,0.03475185799390346,0.07927460328314705,0.9736525729305461,0.9736525729305461,7.105427357601002e-15,0.021051601861889733,0.051980637887031,330721277626.87067,16,0.49676287609589487,1.747083670142035,0,1.0
