instance_id,graph,edge_count,parameter_count,width
ising_confirmatory_11,chain,15,31,1.0
ising_confirmatory_11,random_tree,15,31,1.0
ising_confirmatory_11,problem_tree,15,31,1.0
ising_confirmatory_11,full,24,40,
