instance_id,width,split,parameter_seed,sample_budget,method,stream_seed,success,first_success_step,minimum_gap,final_gap,final_pstar,final_dominant_probability,final_fisher_condition,final_gradient_rms_ratio,final_trap,sample_batches,total_samples,first_direction_cosine,first_direction_relative_error,first_sample_rank,maximum_sample_identity_residual,parameter_dimension,stored_metric_entries
ct_w3_i1,3,calibration,0,0,analytic_target_cooling,0,1,11.0,0.0666344283987712,0.0666344283987712,0.934312087500622,0.934312087500622,,0.22582744095596255,0,0,0,1.0,0.0,-1,0.0,49,49
ct_w3_i1,3,calibration,19,0,analytic_target_cooling,0,1,11.0,0.08107516046218244,0.08107516046218244,0.9204986983780722,0.9204986983780722,,0.4051567856930489,0,0,0,1.0,0.0,-1,0.0,49,49
ct_w3_i1,3,calibration,42,0,analytic_target_cooling,0,1,10.0,0.09898132897015799,0.09898132897015799,0.9028975760660616,0.9028975760660616,,0.21592237738984563,0,0,0,1.0,0.0,-1,0.0,49,49
ct_w3_i1,3,calibration,50,0,analytic_target_cooling,0,1,13.0,0.09761722702202746,0.09761722702202746,0.9028468735392272,0.9028468735392272,,0.36847998011132277,0,0,0,1.0,0.0,-1,0.0,49,49
ct_w3_i1,3,calibration,101,0,analytic_target_cooling,0,1,14.0,0.09112926789100406,0.09112926789100406,0.9093645422736005,0.9093645422736005,,0.4565907717581914,0,0,0,1.0,0.0,-1,0.0,49,49
ct_w3_i1,3,calibration,0,64,sampled_adam,4200857634972012624,0,,1.014305199812986,1.014305199812986,2.186096879668502e-12,0.8773680458198085,,0.011886624407328643,0,199,12736,0.12777540545392774,0.9955277743340868,40,0.0,49,98
ct_w3_i1,3,calibration,0,64,sampled_diagonal_fisher,4200857634972012624,0,,1.0006912166626023,1.0006912166626023,3.0683880848595548e-16,0.7953950174950231,,0.00157015309970936,0,199,12736,0.22575147037477458,1.0811340173244217,40,0.0,49,49
ct_w3_i1,3,calibration,0,64,sampled_two_block_fisher,4200857634972012624,1,4.0,0.09756119837491006,0.09756119837491006,0.9235486399349445,0.9235486399349445,,0.14838650821421956,0,4,256,0.5683721360996069,0.8656795230134212,40,0.0,49,697
ct_w3_i1,3,calibration,0,64,sampled_full_fisher,4200857634972012624,1,7.0,0.0791040517653201,0.0791040517653201,0.9389086367283922,0.9389086367283922,,0.11343019390830074,0,7,448,0.5414733020850885,0.9576290491781371,40,0.0,49,1225
ct_w3_i1,3,calibration,0,64,ray_plus_residual,4200857634972012624,1,8.0,0.04676638094340646,0.04676638094340646,0.9549042751757469,0.9549042751757469,,0.08717381647730427,0,8,512,0.9787764903486995,0.20937433414003104,40,0.0,49,697
ct_w3_i1,3,calibration,19,64,sampled_adam,14697661633870353367,0,,1.0164320784317464,1.0164320784317464,6.475214338630151e-15,0.9059998483003405,695675374.5915837,0.018356651778769634,1,199,12736,0.234254804454035,0.9910533104714142,40,0.0,49,98
ct_w3_i1,3,calibration,19,64,sampled_diagonal_fisher,14697661633870353367,0,,1.0001548598605634,1.0001548598605634,4.20262774361272e-21,0.9994759391157115,434014828103.1259,0.0002532921983429532,1,199,12736,0.30691488168597586,0.9868218930351488,40,0.0,49,49
ct_w3_i1,3,calibration,19,64,sampled_two_block_fisher,14697661633870353367,0,,1.0014686406452746,1.0015697985549572,3.1236919249969667e-34,0.6848453449318284,,0.003410724415675038,0,199,12736,0.3108879164778134,1.025636597893369,40,0.0,49,697
ct_w3_i1,3,calibration,19,64,sampled_full_fisher,14697661633870353367,1,8.0,0.06219928272990494,0.06219928272990494,0.945438516937654,0.945438516937654,,0.13827073605563814,0,8,512,0.6263797420138064,0.86443074677639,40,0.0,49,1225
ct_w3_i1,3,calibration,19,64,ray_plus_residual,14697661633870353367,1,9.0,0.08001191821316667,0.08001191821316667,0.9228013659548219,0.9228013659548219,,0.31725708589247353,0,9,576,0.978158018980031,0.2125041831173602,40,0.0,49,697
ct_w3_i1,3,calibration,42,64,sampled_adam,419538968690674893,1,49.0,0.09762714541766293,0.09762714541766293,0.9194212798851976,0.9194212798851976,,0.07378382985093161,0,49,3136,0.19166311636635425,0.9928455130574071,40,0.0,49,98
ct_w3_i1,3,calibration,42,64,sampled_diagonal_fisher,419538968690674893,1,3.0,0.08089060664738668,0.08089060664738668,0.9253984297131699,0.9253984297131699,,0.113224504853818,0,3,192,0.23639056726072732,1.0377847878416762,40,0.0,49,49
ct_w3_i1,3,calibration,42,64,sampled_two_block_fisher,419538968690674893,1,4.0,0.03092077073974764,0.03092077073974764,0.9758954423024752,0.9758954423024752,,0.027743915508012938,0,4,256,0.17549066542484223,1.0624243091751449,40,0.0,49,697
ct_w3_i1,3,calibration,42,64,sampled_full_fisher,419538968690674893,1,6.0,0.0976014107300518,0.0976014107300518,0.9227796476010537,0.9227796476010537,,0.18088987298424813,0,6,384,0.49951642304301286,1.0000002470136704,40,0.0,49,1225
ct_w3_i1,3,calibration,42,64,ray_plus_residual,419538968690674893,1,10.0,0.015586124968574921,0.015586124968574921,0.9848751602588086,0.9848751602588086,,0.023094060457937216,0,10,640,0.9800798779954949,0.2026403278447058,40,0.0,49,697
ct_w3_i1,3,calibration,50,64,sampled_adam,14908523422959039371,0,,1.0142352248483224,1.0142352248483224,7.730525685337142e-15,0.7322499399882729,,0.009515719759668053,0,199,12736,0.2259240171321239,0.9914837379648319,37,0.0,49,98
ct_w3_i1,3,calibration,50,64,sampled_diagonal_fisher,14908523422959039371,0,,1.0002253940272237,1.0002253940272237,1.8100325941833917e-24,0.7444575065834734,,0.00022677966528531783,0,199,12736,0.19057504314194296,1.1051658204526655,37,0.0,49,49
ct_w3_i1,3,calibration,50,64,sampled_two_block_fisher,14908523422959039371,0,,1.0003709171993247,1.0003709171993247,8.073762255012191e-22,0.7233576983904064,,0.00030540086327328315,0,199,12736,0.21115394806545942,1.0830510403147273,37,0.0,49,697
ct_w3_i1,3,calibration,50,64,sampled_full_fisher,14908523422959039371,0,,1.002711294424948,1.002711294424948,1.3347985028410624e-13,0.37592175765902747,,0.002579277351944471,0,199,12736,0.54480416497361,0.9541444702207208,37,0.0,49,1225
ct_w3_i1,3,calibration,50,64,ray_plus_residual,14908523422959039371,1,10.0,0.09324997441443372,0.09324997441443372,0.9098256689372072,0.9098256689372072,,0.28675909051587656,0,10,640,0.9782711492539966,0.21193468631726586,37,0.0,49,697
