instance_id,width,split,parameter_seed,sample_budget,gradient_samples_per_update,fisher_samples_per_update,method,success,first_success_step,minimum_gap,final_gap,final_pstar,final_dominant_probability,final_fisher_condition,final_gradient_rms_ratio,final_trap,sample_batches,total_samples,first_direction_cosine,first_direction_relative_error,first_sample_rank,first_gradient_fisher_mismatch,parameter_dimension,stored_metric_entries
ct_w3_i1,3,calibration,0,64,32,32,independent_full_fisher,1,30.0,0.0004974762366511953,0.0004974762366511953,0.9995086708472202,0.9995086708472202,,0.0009701369065374213,0,30,1920,0.1808480038003061,1.2799624964815914,31,0.7278225806451614,49,1225
ct_w3_i1,3,calibration,19,64,32,32,independent_full_fisher,0,,0.9999999095986354,0.9999999095986354,1.589888984867424e-05,0.9999564935638098,925490067373.3237,7.33458132217565e-05,1,199,12736,0.05894583835579942,1.3718995310475186,31,1.2701612903225805,49,1225
ct_w3_i1,3,calibration,42,64,32,32,independent_full_fisher,0,,1.0001257022037624,1.0001257022037624,2.3860592224368917e-29,0.7901503693973093,,0.00023898755589805425,0,199,12736,0.17897372359143585,1.2814259841353024,23,1.1572580645161288,49,1225
ct_w3_i1,3,calibration,50,64,32,32,independent_full_fisher,0,,1.0000660478437986,1.0000660478437986,3.7526173289508487e-06,0.9999564042211052,662275876045.1837,8.073641440250165e-05,1,199,12736,0.09983958296411678,1.3417603489713674,29,0.625,49,1225
ct_w3_i1,3,calibration,101,64,32,32,independent_full_fisher,1,15.0,0.046813924274038854,0.046813924274038854,0.9561240852256954,0.9561240852256954,,0.09644626297009479,0,15,960,0.0066100297824174805,1.4095318160421795,30,0.9133064516129032,49,1225
ct_w3_i1,3,calibration,0,256,128,128,independent_full_fisher,1,13.0,0.06639256716396424,0.06639256716396424,0.9338791388636037,0.9338791388636037,,0.12787099752243514,0,13,3328,0.7111939782384837,0.7600079233291142,45,0.3425196850393701,49,1225
ct_w3_i1,3,calibration,19,256,128,128,independent_full_fisher,0,,2.0000118829783755,2.0000118829783755,1.186834029105915e-46,0.9999906741666187,452083520603.0103,2.609094354282351e-05,1,199,50944,0.2112202794502134,1.2560093316132541,41,0.45939960629921245,49,1225
ct_w3_i1,3,calibration,42,256,128,128,independent_full_fisher,1,25.0,0.047595099109058125,0.047595099109058125,0.9529907860686541,0.9529907860686541,,0.09602944922660693,0,25,6400,0.3662335125895344,1.1258476694566326,48,0.4131397637795279,49,1225
ct_w3_i1,3,calibration,50,256,128,128,independent_full_fisher,0,,1.0000163334607866,1.0000163334607866,2.723540155425168e-30,0.4533249443141576,,1.9051216394300263e-05,0,199,50944,0.4457751669004853,1.0528293623370453,45,0.4189222440944882,49,1225
ct_w3_i1,3,calibration,101,256,128,128,independent_full_fisher,0,,1.0000244668854084,1.0000244668854084,2.6560148771273845e-39,0.9999698315829626,479191557152.24567,5.3049642891969694e-05,1,199,50944,0.22807908333818255,1.2425143191624133,47,0.5835383858267714,49,1225
ct_w3_i1,3,calibration,0,1024,512,512,independent_full_fisher,1,33.0,0.07230676052275875,0.07230676052275875,0.9280713112856053,0.9280713112856053,,0.13420595687458575,0,33,33792,0.9660059599332278,0.26074523990582066,49,0.22018713307240728,49,1225
ct_w3_i1,3,calibration,19,1024,512,512,independent_full_fisher,0,,1.0000142957839415,1.0000142957839415,2.615263512670588e-26,0.930969372613212,769387900247.1125,3.05009732306753e-05,1,199,203776,0.8789187653790022,0.4921000601930415,49,0.2627660225048926,49,1225
ct_w3_i1,3,calibration,42,1024,512,512,independent_full_fisher,1,57.0,0.08484620461360137,0.08484620461360137,0.9374871734626342,0.9374871734626342,,0.26795987060747234,0,57,58368,0.4303314937869067,1.0673973076723524,48,0.2640426247553817,49,1225
ct_w3_i1,3,calibration,50,1024,512,512,independent_full_fisher,0,,1.0000005499572335,1.0000005499572335,2.939162458714773e-36,0.9261341030922541,289086971795.9712,7.830844515379735e-07,1,199,203776,0.8062325719228945,0.6225229764066631,48,0.20226883561643813,49,1225
ct_w3_i1,3,calibration,101,1024,512,512,independent_full_fisher,1,45.0,0.06600047899749661,0.06600047899749661,0.9344227207508549,0.9344227207508549,,0.20989864135322317,0,45,46080,0.8538631490499844,0.5406234381711835,49,0.22105858610567536,49,1225
ct_w3_i1,3,calibration,0,4096,2048,2048,independent_full_fisher,1,34.0,0.04780078474325933,0.04780078474325933,0.9526876732592562,0.9526876732592562,,0.15728916761358952,0,34,139264,0.9913634350784263,0.13142727967643472,49,0.1281353047142159,49,1225
ct_w3_i1,3,calibration,19,4096,2048,2048,independent_full_fisher,1,37.0,0.09686746159459148,0.09686746159459148,0.9141602688624078,0.9141602688624078,,0.5120450525067358,0,37,151552,0.9836083716923676,0.18106147192394342,49,0.09761951560210078,49,1225
ct_w3_i1,3,calibration,42,4096,2048,2048,independent_full_fisher,1,33.0,0.07623015217063056,0.07623015217063056,0.9265054081576383,0.9265054081576383,,0.1723087813236529,0,33,135168,0.9904986675760613,0.13785015360121,49,0.09417745481192,49,1225
ct_w3_i1,3,calibration,50,4096,2048,2048,independent_full_fisher,1,37.0,0.07649347148792529,0.07649347148792529,0.9264389117258917,0.9264389117258917,,0.27455818808380267,0,37,151552,0.3012320831942878,1.182174197659306,48,0.11228512762579379,49,1225
ct_w3_i1,3,calibration,101,4096,2048,2048,independent_full_fisher,1,38.0,0.09707453077724537,0.09707453077724537,0.9040538140970584,0.9040538140970584,,0.4802927026946936,0,38,155648,0.3872985196224583,1.1069792052044534,48,0.10679834437591598,49,1225
ct_w3_i2,3,evaluation,0,64,32,32,independent_full_fisher,1,19.0,0.09346249806897333,0.09346249806897333,0.9084191863105905,0.9084191863105905,,0.24175206623596474,0,19,1216,0.2846042883825139,1.1961569392161602,30,1.0685483870967742,47,1128
ct_w3_i2,3,evaluation,19,64,32,32,independent_full_fisher,0,,1.0000578659788335,1.0000578659788335,2.07230351652261e-25,0.8550984934650011,,0.00020023484211085832,0,199,12736,0.26922160343116563,1.208948631306421,31,0.9012096774193548,47,1128
ct_w3_i2,3,evaluation,42,64,32,32,independent_full_fisher,0,,1.0005449391923182,1.0005449391923182,2.17341454935395e-20,0.9994906190647258,833051834443.2139,0.0017235274976894566,1,199,12736,0.4502657464491827,1.048555438258576,31,0.6935483870967737,47,1128
ct_w3_i2,3,evaluation,50,64,32,32,independent_full_fisher,1,24.0,0.029638768910302815,0.029638768910302815,0.970397274913002,0.970397274913002,,0.09944583769687852,0,24,1536,0.40189603461246076,1.0937129105826073,30,0.7137096774193548,47,1128
ct_w3_i2,3,evaluation,101,64,32,32,independent_full_fisher,0,,1.0000401679535518,1.0000401679535518,7.231190262505479e-10,0.9986182751666494,798755149237.4622,8.191794666605141e-05,1,199,12736,0.10569139247092399,1.3373919451896483,28,0.9455645161290321,47,1128
ct_w3_i2,3,evaluation,0,256,128,128,independent_full_fisher,0,,1.000033529800664,1.000033529800664,5.630092682162735e-13,0.9932329222428722,462788904262.2263,7.715367187921043e-05,1,199,50944,-0.14569877395621206,1.5137362874399303,44,0.4940944881889763,47,1128
ct_w3_i2,3,evaluation,19,256,128,128,independent_full_fisher,0,,1.0001426422849118,1.0001426422849118,3.3443513586404363e-26,0.9998668078979174,265121026798.66928,0.0003519261916063862,1,199,50944,0.2236068485767544,1.2461084635161142,45,0.4937253937007874,47,1128
ct_w3_i2,3,evaluation,42,256,128,128,independent_full_fisher,0,,1.0000864793640538,1.0000864793640538,7.832691649141852e-12,0.9745620124666169,875131707256.5549,0.0001508224928702192,1,199,50944,0.4060215986692935,1.0899343111680693,45,0.542199803149606,47,1128
ct_w3_i2,3,evaluation,50,256,128,128,independent_full_fisher,0,,1.0000587820365983,1.0000587820365983,1.5639218155708535e-21,0.8885828649431086,,0.0001642326565304382,0,199,50944,0.26147852959825935,1.2153365545409558,45,0.3987450787401574,47,1128
ct_w3_i2,3,evaluation,101,256,128,128,independent_full_fisher,0,,2.000018242567581,2.000018242567581,5.879979103554873e-34,0.9999837015887775,365515200783.7829,3.526730005212456e-05,1,199,50944,0.39545603270108454,1.0995853466638374,38,0.2843257874015751,47,1128
ct_w3_i2,3,evaluation,0,1024,512,512,independent_full_fisher,1,32.0,0.06241615064227268,0.06241615064227268,0.9521133488815458,0.9521133488815458,,0.19201536374460837,0,32,32768,0.9315079806944023,0.3701135482675486,47,0.21237463307240703,47,1128
ct_w3_i2,3,evaluation,19,1024,512,512,independent_full_fisher,1,57.0,0.09848847708783026,0.09848847708783026,0.9090865143054798,0.9090865143054798,,0.6918072608964002,0,57,58368,0.9376257496537844,0.3531975377779844,47,0.2389615949119375,47,1128
ct_w3_i2,3,evaluation,42,1024,512,512,independent_full_fisher,1,40.0,0.07511555855562335,0.07511555855562335,0.9517388297217102,0.9517388297217102,,0.31219906194865304,0,40,40960,0.9242378667059867,0.389261180427778,47,0.22148666829745606,47,1128
ct_w3_i2,3,evaluation,50,1024,512,512,independent_full_fisher,1,40.0,0.048199287253996914,0.048199287253996914,0.9531135018126211,0.9531135018126211,,0.2445018255713043,0,40,40960,0.47434201744453797,1.025337000751911,46,0.28725079500978506,47,1128
ct_w3_i2,3,evaluation,101,1024,512,512,independent_full_fisher,1,63.0,0.08594240202547176,0.08594240202547176,0.9209875882525305,0.9209875882525305,,0.33940864557331507,0,63,64512,0.4743416792439294,1.0253373305952247,46,0.19012964774951077,47,1128
