sample_budget,method_a,method_b,difference,ci_low,ci_median,ci_high,a_only,b_only,both,neither,pairs
64,sampled_full_fisher_same_batch,independent_full_fisher,0.7625,0.6625,0.7625,0.8625,62,1,11,6,80
256,sampled_full_fisher_same_batch,independent_full_fisher,0.75,0.65,0.75,0.8500000000000001,61,1,18,0,80
1024,sampled_full_fisher_same_batch,independent_full_fisher,0.1625,0.1,0.1625,0.225,13,0,67,0,80
4096,sampled_full_fisher_same_batch,independent_full_fisher,0.0,0.0,0.0,0.0,0,0,80,0,80
