instance_id,checkpoint,sample_replicate,sample_budget,method,stream_seed,success,first_success_step,minimum_gap,final_gap,final_pstar,final_dominant_probability,final_fisher_condition,final_gradient_rms_ratio,final_trap,sample_batches,total_samples,first_direction_cosine,first_direction_relative_error,first_sample_rank,maximum_sample_identity_residual,parameter_dimension,stored_metric_entries
ct_w5_i1,199,-1,0,analytic_target_cooling,0,1,60.0,0.06662305337769503,0.06662305337769503,0.9333769466223055,0.9333769466223055,,64.23215303729073,0,0,0,1.0,0.0,-1,0.0,51,51
ct_w5_i1,199,0,64,sampled_adam,16576996307822443526,0,,1.0008493639152753,1.0008493639152753,1.091969994290327e-16,0.9762923390291643,,0.146023344642895,0,199,12736,0.05143444998736397,0.9994411138188006,1,0.0,51,102
ct_w5_i1,199,0,64,sampled_full_fisher,16576996307822443526,0,,1.0003270796824069,1.0003270796824069,2.2498495961327846e-18,0.978455527822835,15699970761.401415,0.06738508192596393,1,199,12736,0.051434449987162276,1.0000000000000102,1,0.0,51,1326
ct_w5_i1,199,0,64,ray_plus_residual,16576996307822443526,1,22.0,0.0927205667555544,0.0927205667555544,0.9073174627284097,0.9073174627284097,,71.27377447647133,0,22,1408,0.9785762651352481,0.21039204357940536,1,0.0,51,766
ct_w5_i1,199,1,64,sampled_adam,8796314316258094415,0,,1.0007299175649464,1.0007299175649464,6.535509345244019e-18,0.9296441242975185,,0.14752581986104735,0,199,12736,,1.0,1,0.0,51,102
ct_w5_i1,199,1,64,sampled_full_fisher,8796314316258094415,0,,1.000543901433014,1.000543901433014,1.99201963554063e-17,0.9791558189454918,,0.11233696156327017,0,199,12736,,1.0,1,0.0,51,1326
ct_w5_i1,199,1,64,ray_plus_residual,8796314316258094415,1,22.0,0.06399486544391841,0.06399486544391841,0.9360374863070848,0.9360374863070848,,52.860721726065606,0,22,1408,0.997133345353638,0.07588186204529179,1,0.0,51,766
ct_w5_i1,199,2,64,sampled_adam,3034867548139932899,0,,1.0007085091711385,1.0007085091711385,4.772357538629657e-16,0.978155076350201,,0.12464109756481127,0,199,12736,,1.0,1,0.0,51,102
ct_w5_i1,199,2,64,sampled_full_fisher,3034867548139932899,0,,1.0009301598269147,1.0009301598269147,9.809350866010133e-17,0.9910298954818446,,0.22189075086188623,0,199,12736,,1.0,1,0.0,51,1326
ct_w5_i1,199,2,64,ray_plus_residual,3034867548139932899,1,23.0,0.05261603622998301,0.05261603622998301,0.9474555720881673,0.9474555720881673,,41.644600273925576,0,23,1472,0.997133345353638,0.07588186204529179,1,0.0,51,766
