split,sample_budget,method,trajectories,successes,success_rate,mean_first_success,median_first_success,mean_samples_consumed,median_samples_consumed,total_samples_consumed,trap_count,trap_rate,mean_direction_cosine,mean_direction_relative_error,mean_initial_rank,mean_storage_entries,samples_per_observed_success
evaluation,256,sampled_two_block_fisher,80,57,0.7125,4.491228070175438,4.0,15465.6,1280.0,1237248,3,0.0375,0.47646037559479815,0.8980859044440423,48.0875,722.75,21706.105263157893
evaluation,1024,ray_plus_residual,80,80,1.0,6.6125,6.0,6771.2,6144.0,541696,0,0.0,0.9783874090368638,0.21130097529599196,49.5875,722.75,6771.2
evaluation,1024,sampled_adam,80,34,0.425,40.44117647058823,36.0,134771.2,203776.0,10781696,39,0.4875,0.25690794777312725,0.9888718745295033,49.5875,99.375,317108.70588235295
evaluation,1024,sampled_diagonal_fisher,80,36,0.45,3.111111111111111,3.0,113510.4,203776.0,9080832,27,0.3375,0.34215460248974355,1.0197419003979864,49.5875,49.6875,252245.33333333334
evaluation,1024,sampled_full_fisher,80,80,1.0,8.1375,8.0,8332.8,8192.0,666624,0,0.0,0.9909325704471714,0.04227473369433125,49.5875,1261.75,8332.8
evaluation,1024,sampled_two_block_fisher,80,58,0.725,4.689655172413793,4.0,59520.0,5120.0,4761600,6,0.075,0.539911747905254,0.8448377830850269,49.5875,722.75,82096.55172413793
evaluation,4096,ray_plus_residual,80,80,1.0,6.4,6.0,26214.4,24576.0,2097152,0,0.0,0.9784030425603281,0.21121730074061817,49.675,722.75,26214.4
evaluation,4096,sampled_adam,80,34,0.425,38.23529411764706,35.0,535244.8,815104.0,42819584,41,0.5125,0.2632869290500555,0.988563408686937,49.675,99.375,1259399.5294117648
evaluation,4096,sampled_diagonal_fisher,80,37,0.4625,2.891891891891892,3.0,443596.8,815104.0,35487744,30,0.375,0.34770151938271154,1.0153421583465099,49.675,49.6875,959128.2162162162
evaluation,4096,sampled_full_fisher,80,80,1.0,8.7875,9.0,35993.6,36864.0,2879488,0,0.0,0.9991476887860822,0.00461603792600354,49.675,1261.75,35993.6
evaluation,4096,sampled_two_block_fisher,80,58,0.725,4.637931034482759,4.0,237926.4,20480.0,19034112,4,0.05,0.5483702465285548,0.8386469201043998,49.675,722.75,328174.3448275862
