sample_budget,success,n,mean_rank,mean_deficit,mean_cosine,mean_relative_error,mean_final_gap
64,0,7,37.285714285714285,12.285714285714286,0.5946521404014714,0.8695535158375475,1.004058246139937
64,1,73,40.16438356164384,9.534246575342467,0.6175913454188515,0.8520104101928623,0.06912742729146777
256,0,1,48.0,4.0,0.8586880517735083,0.5316238298392791,1.0005259387328709
256,1,79,48.08860759493671,1.5696202531645569,0.9052287863979784,0.3410961160793341,0.06336091899290434
1024,1,80,49.5875,0.1,0.9909325704471714,0.04227473369433125,0.06754218807280248
4096,1,80,49.675,0.0125,0.9991476887860822,0.00461603792600354,0.061065796711311626
